locus_tag	ftype	length_bp	gene	EC_number	COG	product
OCMBFCID_00200	CDS	363				hypothetical protein
OCMBFCID_00201	CDS	537				hypothetical protein
OCMBFCID_00202	CDS	825				hypothetical protein
OCMBFCID_00203	CDS	363				hypothetical protein
OCMBFCID_00204	CDS	435				hypothetical protein
OCMBFCID_00205	CDS	207				hypothetical protein
OCMBFCID_00206	CDS	648			COG2932	putative HTH-type transcriptional regulator
OCMBFCID_00207	CDS	261				hypothetical protein
OCMBFCID_00208	CDS	552				hypothetical protein
OCMBFCID_00209	CDS	339				hypothetical protein
OCMBFCID_00210	CDS	942				hypothetical protein
OCMBFCID_00211	CDS	489				hypothetical protein
OCMBFCID_00212	CDS	654				hypothetical protein
OCMBFCID_00213	CDS	327	lexA_1	3.4.21.88	COG1974	LexA repressor
OCMBFCID_00214	CDS	390	rusA_1	3.1.22.4	COG4570	Crossover junction endodeoxyribonuclease RusA
OCMBFCID_00215	CDS	798				hypothetical protein
OCMBFCID_00216	CDS	990				hypothetical protein
OCMBFCID_00217	CDS	366				hypothetical protein
OCMBFCID_00218	CDS	1332				hypothetical protein
OCMBFCID_00219	CDS	327				hypothetical protein
OCMBFCID_00220	CDS	477				hypothetical protein
OCMBFCID_00221	CDS	462				hypothetical protein
OCMBFCID_00222	CDS	864				hypothetical protein
OCMBFCID_00223	CDS	408				hypothetical protein
OCMBFCID_00224	CDS	495				hypothetical protein
OCMBFCID_00225	CDS	1734				hypothetical protein
OCMBFCID_00226	CDS	183				hypothetical protein
OCMBFCID_00227	CDS	1242				hypothetical protein
OCMBFCID_00228	CDS	651				hypothetical protein
OCMBFCID_00229	CDS	1206				hypothetical protein
OCMBFCID_00230	CDS	201				hypothetical protein
OCMBFCID_00231	CDS	324				hypothetical protein
OCMBFCID_00232	CDS	411				hypothetical protein
OCMBFCID_00233	CDS	507				hypothetical protein
OCMBFCID_00234	CDS	561				hypothetical protein
OCMBFCID_00235	CDS	171				hypothetical protein
OCMBFCID_00236	CDS	1497				hypothetical protein
OCMBFCID_00237	CDS	357				hypothetical protein
OCMBFCID_00238	CDS	270				hypothetical protein
OCMBFCID_00239	CDS	1836				hypothetical protein
OCMBFCID_00240	CDS	1329				hypothetical protein
OCMBFCID_00241	CDS	1080				hypothetical protein
OCMBFCID_00242	CDS	549				hypothetical protein
OCMBFCID_00243	CDS	426				hypothetical protein
OCMBFCID_00244	CDS	1059				hypothetical protein
OCMBFCID_00245	CDS	585				hypothetical protein
OCMBFCID_00246	CDS	801				hypothetical protein
OCMBFCID_00247	CDS	603	tfaE_1			Prophage tail fiber assembly protein TfaE
OCMBFCID_00248	CDS	444				hypothetical protein
OCMBFCID_00249	CDS	492				hypothetical protein
OCMBFCID_00250	CDS	555	hin		COG1961	DNA-invertase hin
OCMBFCID_00251	CDS	774				hypothetical protein
OCMBFCID_00252	CDS	981				hypothetical protein
OCMBFCID_00253	CDS	504				hypothetical protein
OCMBFCID_00254	CDS	918				hypothetical protein
OCMBFCID_00255	CDS	153				hypothetical protein
OCMBFCID_00256	CDS	885	pgrR_1			HTH-type transcriptional regulator PgrR
OCMBFCID_00257	CDS	1137			COG1073	putative protein
OCMBFCID_00258	CDS	1128	nepI_1		COG2814	Purine ribonucleoside efflux pump NepI
OCMBFCID_00259	CDS	150				hypothetical protein
OCMBFCID_00260	CDS	957				hypothetical protein
OCMBFCID_00261	CDS	2199	yagR	1.17.1.4	COG1529	Putative xanthine dehydrogenase YagR molybdenum-binding subunit
OCMBFCID_00262	CDS	957	yagS	1.17.1.4	COG1319	Putative xanthine dehydrogenase YagS FAD-binding subunit
OCMBFCID_00263	CDS	492	yagT_1		COG2080	Putative xanthine dehydrogenase YagT iron-sulfur-binding subunit
OCMBFCID_00264	CDS	312				hypothetical protein
OCMBFCID_00265	CDS	747				hypothetical protein
OCMBFCID_00266	CDS	240	yagT_2		COG2080	Putative xanthine dehydrogenase YagT iron-sulfur-binding subunit
OCMBFCID_00267	CDS	615	yagU		COG3477	Inner membrane protein YagU
OCMBFCID_00268	CDS	711	ecpE			putative fimbrial chaperone EcpE
OCMBFCID_00269	CDS	1644	ecpD			Fimbria adhesin EcpD
OCMBFCID_00270	CDS	2526	ecpC			putative outer membrane usher protein EcpC
OCMBFCID_00271	CDS	669	ecpB			putative fimbrial chaperone EcpB
OCMBFCID_00272	CDS	588	ecpA			Common pilus major fimbrillin subunit EcpA
OCMBFCID_00273	CDS	543	ecpR_1			HTH-type transcriptional regulator EcpR
OCMBFCID_00274	CDS	141	ykgO		COG0257	50S ribosomal protein L36 2
OCMBFCID_00275	CDS	267	ykgM		COG0254	50S ribosomal protein L31 type B
OCMBFCID_00276	CDS	102	ykgR			putative membrane protein YkgR
OCMBFCID_00277	CDS	1143		1.-.-.-		NADH oxidase
OCMBFCID_00278	CDS	921	ycjY_1		COG1073	putative protein YcjY
OCMBFCID_00279	CDS	927	pgrR_2			HTH-type transcriptional regulator PgrR
OCMBFCID_00280	CDS	894	pgrR_3			HTH-type transcriptional regulator PgrR
OCMBFCID_00281	CDS	990	iolS_1	1.1.1.-	COG0667	Aldo-keto reductase IolS
OCMBFCID_00282	CDS	852	yvgN_1	1.1.1.-	COG0656	Glyoxal reductase
OCMBFCID_00283	CDS	4254				Invasin
OCMBFCID_00284	CDS	858	rob_1		COG2207	Right origin-binding protein
OCMBFCID_00285	CDS	870	ytbE	1.-.-.-	COG0656	putative oxidoreductase YtbE
OCMBFCID_00286	CDS	594	rclC		COG3059	Inner membrane protein RclC
OCMBFCID_00287	CDS	1326	rclA		COG1249	putative pyridine nucleotide-disulfide oxidoreductase RclA
OCMBFCID_00288	CDS	855	rclR_1		COG2207	RCS-specific HTH-type transcriptional activator RclR
OCMBFCID_00289	CDS	720	lutA_1		COG0247	Lactate utilization protein A
OCMBFCID_00290	CDS	1428	lutB		COG1139	Lactate utilization protein B
OCMBFCID_00291	CDS	696	lutC		COG1556	Lactate utilization protein C
OCMBFCID_00292	CDS	669				hypothetical protein
OCMBFCID_00293	CDS	1671	betA	1.1.99.1	COG2303	Oxygen-dependent choline dehydrogenase
OCMBFCID_00294	CDS	1473	betB_1	1.2.1.8	COG1012	NAD/NADP-dependent betaine aldehyde dehydrogenase
OCMBFCID_00295	CDS	588	betI		COG1309	HTH-type transcriptional regulator BetI
OCMBFCID_00296	CDS	2034	betT		COG1292	High-affinity choline transport protein
OCMBFCID_00297	CDS	1089	pdeL	3.1.4.52	COG2200	Cyclic di-GMP phosphodiesterase PdeL
OCMBFCID_00298	CDS	933	yahB_1			putative HTH-type transcriptional regulator YahB
OCMBFCID_00299	CDS	498				hypothetical protein
OCMBFCID_00300	CDS	606				hypothetical protein
OCMBFCID_00301	CDS	864				hypothetical protein
OCMBFCID_00302	CDS	1548	fdrA_1		COG0074	Protein FdrA
OCMBFCID_00303	CDS	1419				hypothetical protein
OCMBFCID_00304	CDS	951	arcC2_1	2.7.2.2		Carbamate kinase 2
OCMBFCID_00305	CDS	1383	atzC	3.5.4.42		N-isopropylammelide isopropyl amidohydrolase
OCMBFCID_00306	CDS	411				hypothetical protein
OCMBFCID_00307	CDS	987	lsrB_1			Autoinducer 2-binding protein LsrB
OCMBFCID_00308	CDS	1485	rbsA_1	3.6.3.17	COG1129	Ribose import ATP-binding protein RbsA
OCMBFCID_00309	CDS	972	rbsC_1		COG1172	Ribose import permease protein RbsC
OCMBFCID_00310	CDS	957	lsrD_1			Autoinducer 2 import system permease protein LsrD
OCMBFCID_00311	CDS	1050	yahK	1.1.1.2	COG1064	Aldehyde reductase YahK
OCMBFCID_00312	CDS	816				hypothetical protein
OCMBFCID_00313	tRNA	81				tRNA-Ser(gga)
OCMBFCID_00314	CDS	459	leuE_1		COG1280	Leucine efflux protein
OCMBFCID_00315	CDS	276	bhsA_1			Multiple stress resistance protein BhsA
OCMBFCID_00316	CDS	1587	prpR		COG1221	Propionate catabolism operon regulatory protein
OCMBFCID_00317	CDS	891	prpB	4.1.3.30	COG2513	2-methylisocitrate lyase
OCMBFCID_00318	CDS	540				hypothetical protein
OCMBFCID_00319	CDS	1170	prpC	2.3.3.5	COG0372	2-methylcitrate synthase
OCMBFCID_00320	CDS	1452	prpD	4.2.1.79	COG2079	2-methylcitrate dehydratase
OCMBFCID_00321	CDS	1887	acs_1	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
OCMBFCID_00322	CDS	1260	codB		COG1457	Cytosine permease
OCMBFCID_00323	CDS	1284	codA	3.5.4.1	COG0402	Cytosine deaminase
OCMBFCID_00324	CDS	900	cynR_1			HTH-type transcriptional regulator CynR
OCMBFCID_00325	CDS	660	cynT	4.2.1.1	COG0288	Carbonic anhydrase 1
OCMBFCID_00326	CDS	471	cynS	4.2.1.104	COG1513	Cyanate hydratase
OCMBFCID_00327	CDS	1182	yycB		COG2807	putative transporter YycB
OCMBFCID_00328	CDS	612	lacA_1	2.3.1.18	COG0110	Galactoside O-acetyltransferase
OCMBFCID_00329	CDS	1254	lacY			Lactose permease
OCMBFCID_00330	CDS	3075	lacZ	3.2.1.23	COG3250	Beta-galactosidase
OCMBFCID_00331	CDS	1092	lacI		COG1609	Lactose operon repressor
OCMBFCID_00332	CDS	948	yiaJ_1		COG1414	DNA-binding transcriptional repressor YiaJ
OCMBFCID_00333	CDS	1665	mhpA	1.14.13.127	COG0654	3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase
OCMBFCID_00334	CDS	945	mhpB	1.13.11.16		2,3-dihydroxyphenylpropionate/2,3-dihydroxicinnamic acid 1,2-dioxygenase
OCMBFCID_00335	CDS	867	mhpC	3.7.1.14	COG0596	2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolase
OCMBFCID_00336	CDS	810	mhpD	4.2.1.80	COG3971	2-keto-4-pentenoate hydratase
OCMBFCID_00337	CDS	951	mhpF	1.2.1.10	COG4569	Acetaldehyde dehydrogenase
OCMBFCID_00338	CDS	1014	mhpE	4.1.3.39	COG0119	4-hydroxy-2-oxovalerate aldolase
OCMBFCID_00339	CDS	1212	mhpT			3-(3-hydroxy-phenyl)propionate transporter
OCMBFCID_00340	CDS	540				hypothetical protein
OCMBFCID_00341	CDS	834	frmB	3.1.2.12	COG0627	S-formylglutathione hydrolase FrmB
OCMBFCID_00342	CDS	1110	frmA	1.1.1.284	COG1062	S-(hydroxymethyl)glutathione dehydrogenase
OCMBFCID_00343	CDS	276	frmR		COG1937	Transcriptional repressor FrmR
OCMBFCID_00344	CDS	774				hypothetical protein
OCMBFCID_00345	CDS	1197	icaA	2.4.1.-	COG1215	Poly-beta-1,6-N-acetyl-D-glucosamine synthase
OCMBFCID_00346	CDS	672	bshB1	3.5.1.-	COG2120	N-acetyl-alpha-D-glucosaminyl L-malate deacetylase 1
OCMBFCID_00347	CDS	963	tauA		COG4521	Taurine-binding periplasmic protein
OCMBFCID_00348	CDS	768	tauB	3.6.3.36	COG4525	Taurine import ATP-binding protein TauB
OCMBFCID_00349	CDS	828	ssuC_1		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
OCMBFCID_00350	CDS	852	tauD	1.14.11.17	COG2175	Alpha-ketoglutarate-dependent taurine dioxygenase
OCMBFCID_00351	CDS	975	hemB	4.2.1.24	COG0113	Delta-aminolevulinic acid dehydratase
OCMBFCID_00352	CDS	2907	prn		COG3468	Pertactin autotransporter
OCMBFCID_00353	CDS	624				hypothetical protein
