ID or #		Start	End	Type	Contig
BMIABBIL_00093		107630	108217	complete	contig_1:5224208-5224795
BMIABBIL_00094		108279	110984	complete	contig_1:5224857-5227562
BMIABBIL_00095		111044	111433	complete	contig_1:5227622-5228011
BMIABBIL_00096		111649	111846	complete	contig_1:5228227-5228424
BMIABBIL_00097		111856	112599	complete	contig_1:5228434-5229177
BMIABBIL_00098		112599	113219	complete	contig_1:5229177-5229797
BMIABBIL_00099		113444	114487	complete	contig_1:5230022-5231065
BMIABBIL_00100		114522	115724	complete	contig_1:5231100-5232302
BMIABBIL_00101		115714	117099	complete	contig_1:5232292-5233677
BMIABBIL_00102		117109	117549	complete	contig_1:5233687-5234127
BMIABBIL_00103		117752	118645	complete	contig_1:5234330-5235223
BMIABBIL_00104		118733	119284	complete	contig_1:5235311-5235862
BMIABBIL_00105		119281	120135	complete	contig_1:5235859-5236713
BMIABBIL_00106		120178	121548	complete	contig_1:5236756-5238126
BMIABBIL_00107		122092	122856	complete	contig_1:5238670-5239434
BMIABBIL_00108		123017	125680	complete	contig_1:5239595-5242258
BMIABBIL_00109		125695	127587	complete	contig_1:5242273-5244165
BMIABBIL_00110		127912	129336	complete	contig_1:5244490-5245914
BMIABBIL_00111		129407	131260	complete	contig_1:5245985-5247838
BMIABBIL_00112		131615	134212	partial	contig_1:5248193-5248224,contig_1:1-2329
BMIABBIL_00113		134388	134750	complete	contig_1:2505-2867
BMIABBIL_00114		134788	135582	complete	contig_1:2905-3699
BMIABBIL_00115		135598	136464	complete	contig_1:3715-4581
BMIABBIL_00116		136570	136878	complete	contig_1:4687-4995
BMIABBIL_00117		137083	138633	complete	contig_1:5200-6750
BMIABBIL_00118		138835	141225	complete	contig_1:6952-9342
BMIABBIL_00119		141431	141967	complete	contig_1:9548-10084
BMIABBIL_00120		142008	142670	complete	contig_1:10125-10787
BMIABBIL_00121		142779	143705	complete	contig_1:10896-11822
BMIABBIL_00122		143702	144472	complete	contig_1:11819-12589
BMIABBIL_00123		144577	145017	complete	contig_1:12694-13134
BMIABBIL_00124		145081	146310	complete	contig_1:13198-14427
BMIABBIL_00125		146314	146694	complete	contig_1:14431-14811
BMIABBIL_00126		146968	147870	partial	contig_1:15085-15701
BMIABBIL_00136		157253	157732	partial	contig_1:24964-25385
BMIABBIL_00137		157729	159093	complete	contig_1:25382-26746
BMIABBIL_00138		159186	160112	complete	contig_1:26839-27765
BMIABBIL_00139		160149	160604	complete	contig_1:27802-28257
BMIABBIL_00140		160782	161486	complete	contig_1:28435-29139
BMIABBIL_00141		161501	162031	complete	contig_1:29154-29684
BMIABBIL_00142		162105	164534	complete	contig_1:29758-32187
BMIABBIL_00143		164730	167264	complete	contig_1:32383-34917
BMIABBIL_00144		167484	169727	partial	contig_1:35137-36041,contig_1:36451-37293
BMIABBIL_00145		169778	170575	complete	contig_1:37344-38141
BMIABBIL_00146		170575	171465	complete	contig_1:38141-39031
BMIABBIL_00147		171462	173444	complete	contig_1:39028-41010
BMIABBIL_00148		173602	174882	complete	contig_1:41168-42448
BMIABBIL_00149		175107	176528	complete	contig_1:42673-44094
BMIABBIL_00150		176610	176954	complete	contig_1:44176-44520
BMIABBIL_00151		177001	177624	complete	contig_1:44567-45190
BMIABBIL_00152		177662	178462	complete	contig_1:45228-46028
BMIABBIL_00153		178455	179153	complete	contig_1:46021-46719
BMIABBIL_00154		179237	180754	complete	contig_1:46803-48320
BMIABBIL_00155		180884	182308	complete	contig_1:48450-49874
BMIABBIL_00156		182463	183620	complete	contig_1:50029-51186
BMIABBIL_00157		183709	184095	complete	contig_1:51275-51661
BMIABBIL_00159		185123	185947	complete	contig_1:51816-52640
BMIABBIL_00160		185978	188650	complete	contig_1:52671-55343
BMIABBIL_00161		188712	189506	complete	contig_1:55405-56199
BMIABBIL_00162		189874	190599	complete	contig_1:56567-57292
BMIABBIL_00163		190857	191708	complete	contig_1:57550-58401
BMIABBIL_00164		191855	192580	complete	contig_1:58548-59273
BMIABBIL_00165		192872	193429	complete	contig_1:59565-60122
BMIABBIL_00166		193521	194717	complete	contig_1:60214-61410
BMIABBIL_00167		194906	195664	complete	contig_1:61599-62357
BMIABBIL_00168		195664	195816	complete	contig_1:62357-62509
BMIABBIL_00169		195785	196534	complete	contig_1:62478-63227
BMIABBIL_00170		196546	197898	complete	contig_1:63239-64591
BMIABBIL_00171		197928	200360	complete	contig_1:64621-67053
BMIABBIL_00172		200482	200967	complete	contig_1:67175-67660
BMIABBIL_00173		200971	201996	complete	contig_1:67664-68689
BMIABBIL_00174		202101	202556	complete	contig_1:68794-69249
BMIABBIL_00175		202560	203348	complete	contig_1:69253-70041
BMIABBIL_00176		203348	204496	complete	contig_1:70041-71189
BMIABBIL_00177		204493	205089	complete	contig_1:71186-71782
BMIABBIL_00178		205126	208608	complete	contig_1:71819-75301
BMIABBIL_00179		208621	209580	complete	contig_1:75314-76273
BMIABBIL_00180		209679	211820	complete	contig_1:76372-78513
BMIABBIL_00181		211877	212266	complete	contig_1:78570-78959
BMIABBIL_00182		212331	213629	complete	contig_1:79024-80322
BMIABBIL_00183		213678	213938	complete	contig_1:80371-80631
BMIABBIL_00184		213925	214125	complete	contig_1:80618-80818
BMIABBIL_00185		214291	214836	complete	contig_1:80984-81529
BMIABBIL_00186		214833	215255	complete	contig_1:81526-81948
BMIABBIL_00187		215269	215979	complete	contig_1:81962-82672
BMIABBIL_00188		216179	217003	complete	contig_1:82872-83696
BMIABBIL_00189		217057	218775	complete	contig_1:83750-85468
BMIABBIL_00190		218887	219594	complete	contig_1:85580-86287
BMIABBIL_00191		219591	219995	complete	contig_1:86284-86688
BMIABBIL_00192		220113	220928	complete	contig_1:86806-87621
BMIABBIL_00193		220968	221621	complete	contig_1:87661-88314
BMIABBIL_00194		221614	222645	complete	contig_1:88307-89338
BMIABBIL_00195		222833	223408	complete	contig_1:89526-90101
BMIABBIL_00196		223774	225311	complete	contig_1:90467-92004
BMIABBIL_00197		225381	225457	complete	contig_1:92074-92150
BMIABBIL_00198		225500	225575	complete	contig_1:92193-92268
BMIABBIL_00199		225761	228661	complete	contig_1:92454-95354
BMIABBIL_00200		228760	228870	complete	contig_1:95453-95563
BMIABBIL_00201		228928	229004	complete	contig_1:95621-95697
BMIABBIL_00202		229167	229970	complete	contig_1:95860-96663
BMIABBIL_00203		229967	230881	complete	contig_1:96660-97574
BMIABBIL_00204		231143	231922	complete	contig_1:97836-98615
BMIABBIL_00205		231926	232549	partial	contig_1:98700-99288
BMIABBIL_00206		232597	233817	complete	contig_1:99336-100556
BMIABBIL_00207		234027	234782	complete	contig_1:100766-101521
BMIABBIL_00208		234816	235538	complete	contig_1:101555-102277
BMIABBIL_00209		235535	236002	complete	contig_1:102274-102741
BMIABBIL_00210		236058	236798	complete	contig_1:102797-103537
BMIABBIL_00211		236931	237007	complete	contig_1:103670-103746
BMIABBIL_00212		237335	238120	partial	contig_1:104074-104727
BMIABBIL_00215		239419	240189	complete	contig_1:137802-138572
BMIABBIL_00216		240370	240816	complete	contig_1:138753-139199
BMIABBIL_00217		240859	243303	complete	contig_1:139242-141686
BMIABBIL_00218		243543	244121	complete	contig_1:141926-142504
BMIABBIL_00219		244327	245094	complete	contig_1:142710-143477
BMIABBIL_00220		245065	245805	complete	contig_1:143448-144188
BMIABBIL_00226		250192	250827	complete	contig_1:185576-186211
BMIABBIL_00227		250898	251953	complete	contig_1:186282-187337
BMIABBIL_00228		252005	252298	complete	contig_1:187389-187682
BMIABBIL_00229		252301	252699	complete	contig_1:187685-188083
BMIABBIL_00230		252787	253161	complete	contig_1:188171-188545
BMIABBIL_00232		253702	254202	partial	contig_1:189986-190474
BMIABBIL_00233		254259	255716	complete	contig_1:191364-192821
BMIABBIL_00234		255977	256435	complete	contig_1:193082-193540
BMIABBIL_00235		256527	257771	complete	contig_1:193632-194876
BMIABBIL_00238		258734	259006	complete	contig_1:195063-195335
BMIABBIL_00239		259045	260100	complete	contig_1:195374-196429
BMIABBIL_00240		260388	261491	complete	contig_1:196717-197820
BMIABBIL_00241		261503	262756	complete	contig_1:197832-199085
BMIABBIL_00242		262871	262946	complete	contig_1:199200-199275
BMIABBIL_00258		272847	273992	partial	contig_4:75892-74785,contig_4:91458-91786
BMIABBIL_00259		274101	275081	complete	contig_1:525381-524401
BMIABBIL_00285		297381	297791	partial	contig_1:240617-240848
BMIABBIL_00286		297770	298726	complete	contig_1:245066-246022
BMIABBIL_00287		298736	300934	complete	contig_1:246032-248230
BMIABBIL_00288		300931	301887	complete	contig_1:248227-249183
BMIABBIL_00289		301884	302573	partial	contig_1:249180-249671,contig_1:250930-251130
BMIABBIL_00290		302991	303605	complete	contig_1:251548-252162
BMIABBIL_00291		304495	305205	complete	contig_1:253052-253762
BMIABBIL_00292		305174	306817	complete	contig_1:253731-255374
BMIABBIL_00293		306807	309332	complete	contig_1:255364-257889
BMIABBIL_00294		309358	310026	complete	contig_1:257915-258583
BMIABBIL_00295		310084	310671	complete	contig_1:258641-259228
BMIABBIL_00296		310746	311288	complete	contig_1:259303-259845
BMIABBIL_00297		312374	312514	complete	contig_1:260931-261071
BMIABBIL_00298		312514	312780	complete	contig_1:261071-261337
BMIABBIL_00299		313141	313242	complete	contig_1:261698-261799
BMIABBIL_00300		314357	315244	partial	contig_1:269235-270111
BMIABBIL_00303		316450	317136	partial	contig_1:273863-274467
BMIABBIL_00304		317726	318319	complete	contig_1:275743-276336
BMIABBIL_00305		318676	320001	complete	contig_1:276693-278018
BMIABBIL_00306		320227	321081	complete	contig_1:278244-279098
BMIABBIL_00307		321608	322327	complete	contig_1:279625-280344
BMIABBIL_00308		322338	323765	complete	contig_1:280355-281782
BMIABBIL_00309		323758	324453	complete	contig_1:281775-282470
BMIABBIL_00310		324696	325364	complete	contig_1:282713-283381
BMIABBIL_00311		325577	327247	complete	contig_1:283594-285264
BMIABBIL_00312		327261	328733	complete	contig_1:285278-286750
BMIABBIL_00313		328747	329334	complete	contig_1:286764-287351
BMIABBIL_00314		329463	331496	complete	contig_1:287480-289513
BMIABBIL_00315		332371	333459	complete	contig_1:290388-291476
BMIABBIL_00316		333501	334433	complete	contig_1:291518-292450
BMIABBIL_00317		334525	335022	complete	contig_1:292542-293039
BMIABBIL_00318		335280	335885	complete	contig_1:293297-293902
BMIABBIL_00319		335925	336788	complete	contig_1:293942-294805
BMIABBIL_00320		336778	338325	complete	contig_1:294795-296342
BMIABBIL_00321		338325	339743	partial	contig_1:296342-297759
BMIABBIL_00323		340165	341115	complete	contig_1:297859-298809
BMIABBIL_00324		341125	342507	complete	contig_1:298819-300201
BMIABBIL_00325		342884	343933	complete	contig_1:305680-306729
BMIABBIL_00326		344176	344991	complete	contig_1:306972-307787
BMIABBIL_00327		345334	345414	complete	contig_1:308130-308210
BMIABBIL_00328		345666	346298	complete	contig_1:308462-309094
BMIABBIL_00329		346484	346759	complete	contig_1:309280-309555
BMIABBIL_00330		346857	348443	complete	contig_1:309653-311239
BMIABBIL_00331		348682	349572	complete	contig_1:311478-312368
BMIABBIL_00332		349518	349964	complete	contig_1:312314-312760
BMIABBIL_00333		350012	351181	complete	contig_1:312808-313977
BMIABBIL_00334		351215	352666	complete	contig_1:314011-315462
BMIABBIL_00335		352706	354592	complete	contig_1:315502-317388
BMIABBIL_00336		354922	356181	complete	contig_1:318378-319637
BMIABBIL_00337		356171	357454	complete	contig_1:319627-320910
BMIABBIL_00338		357791	358690	complete	contig_1:321247-322146
BMIABBIL_00339		358799	359458	complete	contig_1:322255-322914
BMIABBIL_00340		359489	359959	complete	contig_1:322945-323415
BMIABBIL_00341		359965	361146	complete	contig_1:323421-324602
BMIABBIL_00342		361249	361860	complete	contig_1:324705-325316
BMIABBIL_00343		361926	363179	complete	contig_1:325382-326635
BMIABBIL_00344		363231	366305	complete	contig_1:326687-329761
BMIABBIL_00345		366428	367519	complete	contig_1:329884-330975
BMIABBIL_00346		367587	368420	complete	contig_1:331043-331876
BMIABBIL_00347		368611	370275	complete	contig_1:332067-333731
BMIABBIL_00348		370277	371221	complete	contig_1:333733-334677
BMIABBIL_00349		371239	372105	complete	contig_1:334695-335561
BMIABBIL_00350		372115	372924	complete	contig_1:335571-336380
BMIABBIL_00351		372921	373871	complete	contig_1:336377-337327
BMIABBIL_00352		373868	374881	complete	contig_1:337324-338337
BMIABBIL_00353		375459	376670	complete	contig_1:338302-339513
BMIABBIL_00354		376772	377311	complete	contig_1:339615-340154
BMIABBIL_00355		377535	378368	complete	contig_1:340378-341211
BMIABBIL_00356		378462	379571	complete	contig_1:341305-342414
BMIABBIL_00357		379606	379881	complete	contig_1:342449-342724
BMIABBIL_00358		380069	380842	complete	contig_1:342912-343685
BMIABBIL_00359		380844	381287	partial	contig_1:343687-343994
BMIABBIL_00360		381351	381716	complete	contig_1:3373864-3373499
BMIABBIL_00361		381674	382579	complete	contig_1:3373541-3372636
BMIABBIL_00362		382739	383935	complete	contig_1:344144-345340
BMIABBIL_00363		383945	384043	complete	contig_1:345350-345448
BMIABBIL_00364		384059	384616	complete	contig_1:345464-346021
BMIABBIL_00365		385232	386194	complete	contig_1:346637-347599
BMIABBIL_00366		386207	386974	complete	contig_1:347612-348379
BMIABBIL_00367		386971	387798	complete	contig_1:348376-349203
BMIABBIL_00368		387795	388646	complete	contig_1:349200-350044
BMIABBIL_00373		393021	394418	complete	contig_1:353093-354490
BMIABBIL_00374		394506	395129	complete	contig_1:354578-355201
BMIABBIL_00375		395130	396287	complete	contig_1:355202-356359
BMIABBIL_00376		396333	396434	complete	contig_1:356405-356506
BMIABBIL_00377		396639	397859	complete	contig_1:356711-357931
BMIABBIL_00378		397872	398966	complete	contig_1:357944-359038
BMIABBIL_00379		399025	399333	complete	contig_1:359097-359405
BMIABBIL_00380		399593	399805	complete	contig_1:359665-359877
BMIABBIL_00381		399829	400923	complete	contig_1:359901-360995
BMIABBIL_00382		401386	401646	complete	contig_1:361458-361718
BMIABBIL_00383		401747	403162	complete	contig_1:361819-363234
BMIABBIL_00384		403281	403601	complete	contig_1:363353-363673
BMIABBIL_00385		403703	404818	complete	contig_1:363775-364890
BMIABBIL_00386		404835	405644	complete	contig_1:364907-365716
BMIABBIL_00387		405764	406222	complete	contig_1:365836-366294
BMIABBIL_00388		406405	406929	complete	contig_1:366477-367001
BMIABBIL_00389		406979	407170	complete	contig_1:367051-367242
BMIABBIL_00390		407428	408105	complete	contig_1:367500-368177
BMIABBIL_00391		408177	408461	complete	contig_1:368249-368533
BMIABBIL_00392		408628	408747	complete	contig_1:368700-368819
BMIABBIL_00393		409108	410085	complete	contig_1:369180-370157
BMIABBIL_00394		410144	411052	complete	contig_1:370216-371124
BMIABBIL_00395		411297	412565	complete	contig_1:371369-372637
BMIABBIL_00396		412607	415753	complete	contig_1:372679-375825
BMIABBIL_00397		415750	416952	complete	contig_1:375822-377024
BMIABBIL_00398		417142	417831	complete	contig_1:377214-377903
BMIABBIL_00399		417889	419184	complete	contig_1:377961-379256
BMIABBIL_00400		419591	420910	complete	contig_1:379663-380982
BMIABBIL_00401		420986	422359	complete	contig_1:381058-382431
BMIABBIL_00402		422515	424332	complete	contig_1:382587-384473
BMIABBIL_00403		424337	424918	partial	contig_1:386158-386733
BMIABBIL_00404		425011	426081	complete	contig_1:386826-387896
BMIABBIL_00405		426137	427264	complete	contig_1:387952-389079
BMIABBIL_00406		427287	427619	complete	contig_1:389102-389434
BMIABBIL_00407		427680	429494	complete	contig_1:389495-391309
BMIABBIL_00408		429505	430476	complete	contig_1:391320-392291
BMIABBIL_00409		430605	430952	complete	contig_1:392420-392767
BMIABBIL_00410		431129	432013	complete	contig_1:392944-393828
BMIABBIL_00411		432312	432851	complete	contig_1:394127-394666
BMIABBIL_00412		433002	433451	complete	contig_1:394817-395266
BMIABBIL_00413		433455	434558	complete	contig_1:395270-396373
BMIABBIL_00414		434647	435117	complete	contig_1:396462-396932
BMIABBIL_00415		435137	435556	complete	contig_1:396952-397371
BMIABBIL_00416		435634	436611	complete	contig_1:397449-398426
BMIABBIL_00417		436589	437107	partial	contig_1:398404-398902
BMIABBIL_00418		437161	438135	partial	contig_1:400889-401859
BMIABBIL_00419		438315	440177	complete	contig_1:402039-403901
BMIABBIL_00420		440202	441101	complete	contig_1:403926-404825
BMIABBIL_00421		441101	441343	complete	contig_1:404825-405067
BMIABBIL_00422		441549	442997	complete	contig_1:405273-406721
BMIABBIL_00423		443051	443641	complete	contig_1:406775-407365
BMIABBIL_00424		443604	444515	complete	contig_1:407328-408239
BMIABBIL_00425		444683	445174	complete	contig_1:408407-408898
BMIABBIL_00426		445302	446666	complete	contig_1:409026-410390
BMIABBIL_00427		446815	447705	complete	contig_1:410539-411429
BMIABBIL_00428		447717	448046	complete	contig_1:411441-411770
BMIABBIL_00429		448046	448660	complete	contig_1:411770-412384
BMIABBIL_00430		448650	450641	complete	contig_1:412374-414365
BMIABBIL_00431		450663	451610	complete	contig_1:414387-415334
BMIABBIL_00432		452070	453545	complete	contig_1:415794-417269
BMIABBIL_00433		453589	454167	complete	contig_1:417313-417891
BMIABBIL_00434		454475	454789	complete	contig_1:418199-418513
BMIABBIL_00435		455133	456431	complete	contig_1:418857-420155
BMIABBIL_00436		456677	457300	complete	contig_1:420401-421024
BMIABBIL_00437		457426	458700	complete	contig_1:421150-422424
BMIABBIL_00438		458888	461242	complete	contig_1:422612-424966
BMIABBIL_00439		461451	461723	complete	contig_1:425175-425447
BMIABBIL_00440		461915	463786	complete	contig_1:425639-427510
BMIABBIL_00441		463937	464308	complete	contig_1:427661-428032
BMIABBIL_00442		464402	464800	complete	contig_1:428126-428524
BMIABBIL_00443		464852	465547	complete	contig_1:428576-429271
BMIABBIL_00444		465612	467312	complete	contig_1:429336-431036
BMIABBIL_00445		467412	468230	complete	contig_1:431136-431954
BMIABBIL_00446		468383	468841	complete	contig_1:432107-432565
BMIABBIL_00447		468871	470643	complete	contig_1:432595-434367
BMIABBIL_00448		470636	472417	complete	contig_1:434360-436141
BMIABBIL_00449		472598	472936	complete	contig_1:436322-436660
BMIABBIL_00450		472966	474252	complete	contig_1:436690-437976
BMIABBIL_00451		474301	475161	complete	contig_1:438025-438885
BMIABBIL_00452		475379	475951	complete	contig_1:439103-439675
BMIABBIL_00453		475982	476293	complete	contig_1:439706-440017
BMIABBIL_00454		476672	477025	complete	contig_1:440396-440749
BMIABBIL_00455		477067	478617	complete	contig_1:440791-442341
BMIABBIL_00456		478781	479251	complete	contig_1:442505-442975
BMIABBIL_00457		479367	479918	complete	contig_1:443091-443642
BMIABBIL_00458		480090	480308	complete	contig_1:443814-444032
BMIABBIL_00459		480334	480708	complete	contig_1:444058-444432
BMIABBIL_00460		481254	484403	complete	contig_1:444978-448127
BMIABBIL_00461		484426	485619	complete	contig_1:448150-449343
BMIABBIL_00462		485761	486408	complete	contig_1:449485-450132
BMIABBIL_00463		486536	489898	complete	contig_1:450260-453622
BMIABBIL_00464		490110	490271	complete	contig_1:453834-453995
BMIABBIL_00465		490285	490812	complete	contig_1:454009-454536
BMIABBIL_00466		490882	491259	complete	contig_1:454606-454983
BMIABBIL_00467		491412	491963	complete	contig_1:455136-455687
BMIABBIL_00468		492092	494023	complete	contig_1:455816-457747
BMIABBIL_00469		494076	494405	complete	contig_1:457800-458129
BMIABBIL_00470		494405	495010	complete	contig_1:458129-458734
BMIABBIL_00471		495120	496994	complete	contig_1:458844-460718
BMIABBIL_00472		497175	497819	complete	contig_1:460899-461543
BMIABBIL_00473		498055	499017	complete	contig_1:461779-462741
BMIABBIL_00474		499014	499973	complete	contig_1:462738-463697
BMIABBIL_00475		500125	501429	complete	contig_1:463849-465153
BMIABBIL_00476		501562	503238	complete	contig_1:465286-466962
BMIABBIL_00477		503476	504696	complete	contig_1:467200-468420
BMIABBIL_00478		504914	506566	complete	contig_1:468638-470290
BMIABBIL_00479		506603	507082	complete	contig_1:470327-470806
BMIABBIL_00480		507286	508080	complete	contig_1:471010-471804
BMIABBIL_00482		508875	511379	complete	contig_1:471574-474078
BMIABBIL_00483		511641	512573	complete	contig_1:474340-475272
BMIABBIL_00484		512576	513868	complete	contig_1:475275-476567
BMIABBIL_00486		514401	514859	partial	contig_1:506295-506725
BMIABBIL_00487		514856	515773	complete	contig_1:506722-507639
BMIABBIL_00488		515919	516596	complete	contig_1:507785-508462
BMIABBIL_00489		516583	517362	complete	contig_1:508449-509228
BMIABBIL_00490		517425	518279	complete	contig_1:509291-510145
BMIABBIL_00491		518340	519110	complete	contig_1:510206-510976
BMIABBIL_00492		519139	519732	complete	contig_1:511005-511598
BMIABBIL_00493		519733	520419	complete	contig_1:511599-512285
BMIABBIL_00494		520416	522830	partial	contig_1:512282-514688
BMIABBIL_00500		530132	531226	partial	contig_1:515306-516395
BMIABBIL_00501		531295	532221	complete	contig_1:516464-517390
BMIABBIL_00502		532451	532933	complete	contig_1:517620-518102
BMIABBIL_00503		533011	533826	complete	contig_1:518180-518995
BMIABBIL_00504		533916	535697	complete	contig_1:519085-520866
BMIABBIL_00505		535710	536486	complete	contig_1:520879-521655
BMIABBIL_00506		536586	537464	complete	contig_1:521755-522633
BMIABBIL_00507		537633	539087	complete	contig_1:522802-524256
BMIABBIL_00508		539147	540508	partial	contig_1:525528-526877
BMIABBIL_00509		540565	541866	complete	contig_1:526934-528235
BMIABBIL_00510		541888	543033	complete	contig_1:528257-529402
BMIABBIL_00511		543261	544046	complete	contig_1:529630-530415
BMIABBIL_00512		544057	545292	complete	contig_1:530426-531661
BMIABBIL_00513		545314	546363	complete	contig_1:531683-532732
BMIABBIL_00514		546680	548347	complete	contig_1:533049-534716
BMIABBIL_00515		548357	549616	complete	contig_1:534726-535985
BMIABBIL_00516		549627	550442	complete	contig_1:535996-536811
BMIABBIL_00517		550439	551332	complete	contig_1:536808-537701
BMIABBIL_00518		551527	552594	complete	contig_1:537896-538963
BMIABBIL_00519		552591	553100	complete	contig_1:538960-539469
BMIABBIL_00520		553218	553940	complete	contig_1:539587-540309
BMIABBIL_00521		553943	554437	complete	contig_1:540312-540806
BMIABBIL_00522		554611	555996	complete	contig_1:540980-542365
BMIABBIL_00523		556032	556553	complete	contig_1:542401-542922
