#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	396657	396965	-	GJAFJC_00397	11.0	9.5		
contig_1	417580	418320	+	GJAFJC_00418	28.3	5.5	PF08843.17|AbiEii	PFAM:PF08843.17
contig_1	418945	419100	+	GJAFJC_00419	5.8	9.7		
contig_1	677199	677477	+	GJAFJC_00670	10.5	9.9	PF13693.12|HTH_35	PFAM:PF13693.12
contig_1	720802	721065	+	GJAFJC_00715	9.2	5.7	PF07338.18|YdgH_BhsA-like	PFAM:PF07338.18
contig_1	753646	753936	-	GJAFJC_00743	11.1	8.9		SO:0001217, UniRef:UniRef50_J7QA02
contig_2	8282	9298	-	GJAFJC_00817	38.0	6.6	PF13087.12|AAA_12, PF13091.12|PLDc_2	PFAM:PF13087.12, PFAM:PF13091.12, SO:0001217, UniRef:UniRef50_A0A3F3NZU4
contig_2	44911	45147	+	GJAFJC_00853	8.4	9.7		SO:0001217, UniRef:UniRef50_A0A0E2KXY2
contig_2	50136	50246	+	GJAFJC_00859	4.2	8.6		
contig_2	67788	67913	-	GJAFJC_00881	4.8	9.2		
contig_2	76010	76453	+	GJAFJC_00887	15.8	4.9		
contig_2	78439	78633	-	GJAFJC_00889	6.9	4.5		
contig_2	97951	98181	-	GJAFJC_00909	9.3	8.8		
contig_2	98168	98521	-	GJAFJC_00910	13.9	5.3		
contig_2	142116	143600	-	GJAFJC_00952	56.5	5.1	PF13644.11|DKNYY	PFAM:PF13644.11
contig_2	177265	177573	-	GJAFJC_00991	11.2	7.0	PF17209.9|Hfq	PFAM:PF17209.9
contig_2	213804	214193	+	GJAFJC_01029	15.0	4.8		
contig_2	250878	251321	+	GJAFJC_01061	16.1	5.0	PF00903.31|Glyoxalase	PFAM:PF00903.31
contig_2	262257	262586	-	GJAFJC_01076	13.5	4.8		
contig_2	306871	307113	-	GJAFJC_01120	9.1	10.2		
contig_2	331836	332078	-	GJAFJC_01144	7.4	5.8		
contig_2	351563	353749	+	GJAFJC_01161	82.7	8.5	PF12796.13|Ank_2	PFAM:PF12796.13
contig_2	380818	381018	+	GJAFJC_01187	7.3	4.4	PF02597.26|ThiS	PFAM:PF02597.26
contig_2	478451	479488	-	GJAFJC_01279	39.5	6.7		SO:0001217, UniRef:UniRef50_A0A1I7E5F8
contig_2	516208	516522	+	GJAFJC_01323	12.3	5.3	PF05336.19|rhaM	PFAM:PF05336.19
contig_2	525734	525862	-	GJAFJC_01331	4.6	7.9		
contig_2	547499	547894	-	GJAFJC_01354	14.6	6.9		
contig_2	557052	557561	-	GJAFJC_01363	19.1	6.4		
contig_2	562002	562187	+	GJAFJC_01368	7.2	9.7		
contig_2	608335	608769	+	GJAFJC_01417	15.7	6.7	PF01887.21|SAM_HAT_N	PFAM:PF01887.21
contig_2	608797	609237	+	GJAFJC_01418	15.8	5.8	PF20257.3|SAM_HAT_C	PFAM:PF20257.3
contig_2	709889	710038	-	GJAFJC_01514	5.3	10.3		
contig_2	743631	743891	-	GJAFJC_01546	9.3	5.2		
contig_2	755335	755784	-	GJAFJC_01556	15.7	9.1		
contig_2	761107	761397	+	GJAFJC_01564	11.1	5.7	PF01842.31|ACT, PF13710.12|ACT_5, PF22629.2|ACT_AHAS_ss	PFAM:PF01842.31, PFAM:PF13710.12, PFAM:PF22629.2
contig_2	761662	762957	+	GJAFJC_01565	48.1	6.4		SO:0001217, UniRef:UniRef50_A0A7L7ED11
contig_2	763233	764702	+	GJAFJC_01566	55.1	5.4		SO:0001217, UniRef:UniRef50_A0AAN3TTQ2
contig_3	33937	34104	+	GJAFJC_01605	5.9	4.1		
contig_3	38205	38324	+	GJAFJC_01615	4.4	9.6		
contig_3	47435	47662	-	GJAFJC_01627	8.4	9.0	PF14549.12|P22_Cro	PFAM:PF14549.12
contig_3	55358	55468	-	GJAFJC_01638	4.1	6.0		
contig_3	110808	113030	+	GJAFJC_01690	80.3	8.6	PF00037.32|Fer4, PF01512.22|Complex1_51K, PF10531.15|SLBB, PF12797.12|Fer4_2, PF12837.12|Fer4_6, PF12838.12|Fer4_7, PF13183.11|Fer4_8, PF13237.11|Fer4_10, PF13375.12|RnfC_N, PF13534.11|Fer4_17	PFAM:PF00037.32, PFAM:PF01512.22, PFAM:PF10531.15, PFAM:PF12797.12, PFAM:PF12837.12, PFAM:PF12838.12, PFAM:PF13183.11, PFAM:PF13237.11, PFAM:PF13375.12, PFAM:PF13534.11
contig_3	116175	116375	+	GJAFJC_01695	7.9	9.9		
contig_3	168824	169012	-	GJAFJC_01751	7.3	5.2		
contig_3	183295	183471	-	GJAFJC_01764	6.5	9.5		
contig_3	193504	193695	+	GJAFJC_01773	7.1	9.8		
contig_3	206839	208737	+	GJAFJC_01788	70.9	8.6	PF12796.13|Ank_2	PFAM:PF12796.13
contig_3	211139	211429	+	GJAFJC_01792	10.9	4.2		
contig_3	285565	285879	+	GJAFJC_01869	11.2	9.2		
contig_3	311466	311654	+	GJAFJC_01896	6.7	9.9		
contig_3	324577	324852	+	GJAFJC_01907	10.4	4.4		
contig_3	340782	340931	-	GJAFJC_01927	5.7	9.9		SO:0001217, UniRef:UniRef50_B2U498
contig_3	344616	345938	-	GJAFJC_01931	49.1	9.5	PF01476.26|LysM, PF01551.29|Peptidase_M23, PF04225.17|LysM_OapA, PF08525.16|OapA_N, PF19425.4|Csd3_N2, PF22310.2|NMB0315_dom_I	PFAM:PF01476.26, PFAM:PF01551.29, PFAM:PF04225.17, PFAM:PF08525.16, PFAM:PF19425.4, PFAM:PF22310.2
contig_3	392226	393437	+	GJAFJC_01980	42.8	9.4	PF01490.24|Aa_trans	PFAM:PF01490.24
contig_3	406248	407660	+	GJAFJC_01997	50.4	5.1		
contig_3	412572	412841	-	GJAFJC_02005	10.6	9.9		
contig_3	430192	431127	-	GJAFJC_02030	35.9	6.4	PF17151.10|CHASE7	PFAM:PF17151.10
contig_3	431298	431480	-	GJAFJC_02031	6.7	4.7		
contig_3	480963	481586	+	GJAFJC_02065	21.6	4.6	PF09134.16|Invasin_D3, PF21764.3|Invasin_D4	PFAM:PF09134.16, PFAM:PF21764.3
contig_3	494657	495142	-	GJAFJC_02079	18.1	5.1	PF02283.22|CobU	PFAM:PF02283.22
contig_3	500598	501116	-	GJAFJC_02083	19.3	7.9		
contig_3	519004	519198	+	GJAFJC_02101	7.0	4.1		
contig_3	522445	523611	-	GJAFJC_02105	43.3	6.3	PF00768.25|Peptidase_S11, PF07943.18|PBP5_C, PF13354.11|Beta-lactamase2	PFAM:PF00768.25, PFAM:PF07943.18, PFAM:PF13354.11
contig_4	62295	62393	+	GJAFJC_02185	3.8	5.0		
contig_4	154452	154628	-	GJAFJC_02273	6.6	6.7		SO:0001217, UniRef:UniRef50_A0A447X5K8
contig_4	210362	210640	-	GJAFJC_02328	9.8	9.8		SO:0001217, UniRef:UniRef50_A0A2S8JRI1
contig_4	214932	215213	-	GJAFJC_02332	10.5	10.3		
contig_4	233137	233544	-	GJAFJC_02347	16.1	9.1		
contig_4	233606	233908	-	GJAFJC_02348	11.6	5.1		SO:0001217, UniRef:UniRef50_A0A5J5FQ78
contig_4	233930	234409	-	GJAFJC_02349	18.5	5.1		SO:0001217, UniRef:UniRef50_A0A0P7MTR7
contig_4	234763	235188	-	GJAFJC_02351	15.9	5.4		SO:0001217, UniRef:UniRef50_A0A0Q3IL72
contig_4	249913	250182	-	GJAFJC_02360	10.6	11.8		
contig_4	264472	264645	-	GJAFJC_02377	6.8	6.7		
contig_4	342687	343946	+	GJAFJC_02449	46.6	9.9	PF01551.29|Peptidase_M23	PFAM:PF01551.29
contig_4	384964	386061	-	GJAFJC_02489	41.1	5.5	PF01055.32|Glyco_hydro_31_2nd, PF21365.3|Glyco_hydro_31_3rd	PFAM:PF01055.32, PFAM:PF21365.3
contig_5	4063	4980	-	GJAFJC_02514	35.1	4.8		SO:0001217, UniRef:UniRef50_A0A833EK37
contig_5	5115	5267	+	GJAFJC_02515	5.8	9.9		SO:0001217, UniRef:UniRef50_A0A234EMI3
contig_5	9826	9975	-	GJAFJC_02519	5.4	11.7		
contig_5	15779	16018	-	GJAFJC_02527	8.4	6.2		
contig_5	38498	39355	-	GJAFJC_02546	33.9	8.4	PF00165.29|HTH_AraC, PF06445.20|GyrI-like, PF12833.13|HTH_18	PFAM:PF00165.29, PFAM:PF06445.20, PFAM:PF12833.13
contig_5	58188	58793	+	GJAFJC_02562	21.6	5.5	PF00023.36|Ank, PF12796.13|Ank_2, PF13606.12|Ank_3, PF13637.12|Ank_4, PF13857.12|Ank_5	PFAM:PF00023.36, PFAM:PF12796.13, PFAM:PF13606.12, PFAM:PF13637.12, PFAM:PF13857.12
contig_5	65384	65794	+	GJAFJC_02568	15.1	4.9	PF04266.20|ASCH	PFAM:PF04266.20
contig_5	73524	73982	-	GJAFJC_02575	16.8	8.8		
contig_5	77205	77744	-	GJAFJC_02579	19.4	11.2		
contig_5	121291	121392	-	GJAFJC_02627	3.9	11.6		SO:0001217, UniRef:UniRef50_A0A658Z4P2
contig_5	128415	128735	+	GJAFJC_02635	11.7	9.8	PF07769.19|PsiF_repeat	PFAM:PF07769.19
contig_5	133699	133881	-	GJAFJC_02643	6.8	4.8		SO:0001217, UniRef:UniRef50_A0A0K4C8M6
contig_5	204469	204780	-	GJAFJC_02707	11.5	9.9	PF01035.26|DNA_binding_1	PFAM:PF01035.26
contig_5	267981	268403	-	GJAFJC_02747	15.2	8.3		
contig_5	323360	323590	+	GJAFJC_02810	8.2	9.8		
contig_5	335207	335359	+	GJAFJC_02829	5.8	9.5		
contig_5	358490	359194	+	GJAFJC_02853	26.3	5.1	PF13884.11|Peptidase_S74	PFAM:PF13884.11
contig_5	370008	370544	-	GJAFJC_02862	20.8	9.6		
contig_5	371623	371742	+	GJAFJC_02865	4.6	9.5		
contig_5	371842	372084	-	GJAFJC_02866	9.3	9.5		
contig_5	373547	373747	-	GJAFJC_02868	7.4	4.7		SO:0001217, UniRef:UniRef50_A0A376VLB4
contig_5	375859	376137	-	GJAFJC_02872	9.8	9.5		SO:0001217, UniRef:UniRef50_A0A0Q3BLP0
contig_5	377305	377619	-	GJAFJC_02874	11.1	8.5	PF13665.11|Tox-PAAR-like	PFAM:PF13665.11
contig_5	377673	378713	-	GJAFJC_02875	39.1	5.3		SO:0001217, UniRef:UniRef50_A0A1B7JC47
contig_5	378825	379865	-	GJAFJC_02876	39.5	5.4		SO:0001217, UniRef:UniRef50_A0A1B7JC47
contig_5	379891	380190	-	GJAFJC_02877	10.8	5.5		
contig_5	392602	392985	-	GJAFJC_02887	14.7	8.7		
contig_5	394494	394670	+	GJAFJC_02890	6.7	4.8		SO:0001217, UniRef:UniRef50_A0A377B3K0
contig_6	13588	13689	+	GJAFJC_02912	3.9	8.2		
contig_6	66901	67371	-	GJAFJC_02956	16.4	9.0		
contig_6	67426	68262	-	GJAFJC_02957	30.8	9.4		
contig_6	95637	95864	-	GJAFJC_02996	8.8	9.7	PF04545.22|Sigma70_r4	PFAM:PF04545.22
contig_6	123499	123795	+	GJAFJC_03023	11.4	10.1		
contig_6	129647	130051	-	GJAFJC_03030	14.5	7.7		
contig_6	156670	156888	-	GJAFJC_03054	8.2	9.0		SO:0001217, UniRef:UniRef50_A0A658YVE2
contig_6	156923	157318	+	GJAFJC_03055	15.4	9.0		
contig_6	181220	181951	+	GJAFJC_03077	27.3	5.2	PF00805.28|Pentapeptide	PFAM:PF00805.28
contig_6	201602	201733	+	GJAFJC_03093	5.4	6.7		
contig_6	252163	254016	-	GJAFJC_03140	69.4	8.6		
contig_6	272671	273921	-	GJAFJC_03159	45.5	5.5	PF00419.26|Fimbrial	PFAM:PF00419.26
contig_6	335007	335267	-	GJAFJC_03214	9.7	4.7		
contig_6	342125	342778	-	GJAFJC_03224	23.3	10.1		
contig_7	7418	7573	+	GJAFJC_03249	5.9	10.5		
contig_7	7549	7845	-	GJAFJC_03250	11.3	8.6		SO:0001217, UniRef:UniRef50_A0A0H3EJ07
contig_7	26575	26850	+	GJAFJC_03270	10.3	5.4		
contig_7	26828	27148	-	GJAFJC_03271	12.2	5.0		SO:0001217, UniRef:UniRef50_A0A616MFR6
contig_7	27160	27393	-	GJAFJC_03272	8.4	6.1		
contig_7	43668	43757	-	GJAFJC_03299	3.3	4.7		
contig_7	69315	69485	+	GJAFJC_03327	6.2	5.2		SO:0001217, UniRef:UniRef50_UPI002E19497F
contig_7	71950	72129	-	GJAFJC_03333	6.0	9.9		
contig_7	91385	91552	+	GJAFJC_03351	6.3	4.1		
contig_7	150773	150946	+	GJAFJC_03411	6.4	5.6		SO:0001217, UniRef:UniRef50_A0A377BGW3
contig_7	159457	159723	+	GJAFJC_03418	8.7	7.6	PF03891.20|DUF333	PFAM:PF03891.20
contig_7	183902	184201	-	GJAFJC_03433	11.4	7.7		SO:0001217, UniRef:UniRef50_A0A148HK34
contig_7	184816	184926	+	GJAFJC_03435	4.4	7.9		
contig_7	189525	189698	+	GJAFJC_03441	5.8	9.5		
contig_7	204926	205096	-	GJAFJC_03457	6.6	6.2		
contig_7	214462	214659	+	GJAFJC_03467	7.3	10.0		
contig_7	224833	225117	+	GJAFJC_03478	9.6	8.0	PF05488.18|PAAR_motif	PFAM:PF05488.18
contig_7	228346	229005	+	GJAFJC_03481	25.6	9.1		SO:0001217, UniRef:UniRef50_A0A5Y2QRA3
contig_7	228992	229168	+	GJAFJC_03482	6.9	4.1		
contig_7	229785	230345	+	GJAFJC_03483	21.9	9.2		SO:0001217, UniRef:UniRef50_A0A0P7N6I8
contig_7	254955	255125	+	GJAFJC_03504	6.3	6.9		
contig_7	285993	286226	-	GJAFJC_03527	8.7	8.2		
contig_7	299920	300111	-	GJAFJC_03539	7.2	5.6	PF04909.20|Amidohydro_2	PFAM:PF04909.20
contig_7	300062	300481	-	GJAFJC_03540	15.7	8.9	PF04909.20|Amidohydro_2	PFAM:PF04909.20
contig_7	304014	304124	-	GJAFJC_03545	4.3	5.6		
contig_8	48412	48723	-	GJAFJC_03629	11.2	8.6		
contig_8	49235	49690	-	GJAFJC_03631	15.0	5.0	PF07012.17|Curlin_rpt	PFAM:PF07012.17
contig_8	49731	50186	-	GJAFJC_03632	15.9	9.6	PF07012.17|Curlin_rpt	PFAM:PF07012.17
contig_8	62681	62827	+	GJAFJC_03649	5.9	9.3		SO:0001217, UniRef:UniRef50_Q8X465
contig_8	63836	65179	+	GJAFJC_03650	50.4	8.8		SO:0001217, UniRef:UniRef50_A0A3S4LJC3
contig_8	77711	77884	-	GJAFJC_03662	5.9	9.9		
contig_8	120973	121140	-	GJAFJC_03706	6.5	10.9		
contig_8	228413	228928	+	GJAFJC_03790	18.9	6.4	PF12883.13|DUF3828	PFAM:PF12883.13
contig_8	259629	260015	+	GJAFJC_03825	14.3	9.3	PF06296.18|RelE	PFAM:PF06296.18
contig_8	260005	260334	+	GJAFJC_03826	12.0	9.3	PF01381.28|HTH_3	PFAM:PF01381.28, SO:0001217, UniRef:UniRef50_H3RLU2
contig_9	32802	33290	-	GJAFJC_03893	17.6	8.9	PF00132.30|Hexapep	PFAM:PF00132.30
contig_9	49137	49634	-	GJAFJC_03906	18.7	9.3	PF00730.31|HhH-GPD	PFAM:PF00730.31
contig_9	49651	49980	-	GJAFJC_03907	11.9	6.7	PF06029.17|AlkA_N	PFAM:PF06029.17
contig_9	53416	54096	-	GJAFJC_03910	24.5	4.4		
contig_9	55405	55551	+	GJAFJC_03915	5.2	10.0		
contig_9	64014	64583	+	GJAFJC_03920	20.7	10.9		
contig_9	109280	109369	-	GJAFJC_03959	3.3	5.9		
contig_9	109888	109977	-	GJAFJC_03961	3.3	5.9		
contig_9	117542	118012	-	GJAFJC_03968	18.0	9.2	PF07308.18|DUF1456	PFAM:PF07308.18, SO:0001217, UniRef:UniRef50_A0A0H2V0J0
contig_9	183566	183910	-	GJAFJC_04026	12.5	4.8		
contig_9	188191	188475	+	GJAFJC_04030	10.7	9.6	PF01386.24|Ribosomal_L25p	PFAM:PF01386.24
contig_9	220759	223608	-	GJAFJC_04066	106.5	6.0	PF00072.30|Response_reg, PF00512.31|HisKA, PF02518.31|HATPase_c, PF09456.16|RcsC	PFAM:PF00072.30, PFAM:PF00512.31, PFAM:PF02518.31, PFAM:PF09456.16
contig_9	255555	255686	+	GJAFJC_04088	4.9	4.6		
contig_9	255865	256935	+	GJAFJC_04089	41.2	6.3		SO:0001217, UniRef:UniRef50_A0A4C9CWG2
contig_9	265097	265294	+	GJAFJC_04096	7.3	5.0		
contig_9	287414	287719	-	GJAFJC_04119	11.3	5.3	PF05957.18|DUF883	PFAM:PF05957.18
contig_10	6360	6527	+	GJAFJC_04136	6.3	9.8		
contig_10	6678	6836	+	GJAFJC_04137	5.8	11.0		
contig_10	7274	7570	-	GJAFJC_04139	10.9	5.5		SO:0001217, UniRef:UniRef50_A8H9P8
contig_10	23538	23744	-	GJAFJC_04154	7.0	6.1		
contig_10	35215	36096	+	GJAFJC_04175	32.1	5.5		
contig_10	36552	36803	+	GJAFJC_04177	9.2	9.3		
contig_10	49122	51836	-	GJAFJC_04185	96.8	4.8	PF05688.17|BIg21, PF05689.17|InvE_AD	PFAM:PF05688.17, PFAM:PF05689.17
contig_10	134382	134555	+	GJAFJC_04263	6.8	6.7		
contig_10	145229	145501	+	GJAFJC_04274	9.9	5.7		
contig_10	180995	181534	+	GJAFJC_04313	20.5	4.5		SO:0001217, UniRef:UniRef50_UPI0007A6317C
contig_10	181743	182135	+	GJAFJC_04314	14.4	5.4	PF12826.13|HHH_2	PFAM:PF12826.13
contig_10	191150	191359	-	GJAFJC_04322	7.4	4.5		
contig_10	192003	192311	+	GJAFJC_04324	11.0	4.9		
contig_10	199690	201369	+	GJAFJC_04332	65.2	6.8	PF00496.27|SBP_bac_5	PFAM:PF00496.27
contig_10	206249	206824	+	GJAFJC_04337	21.9	9.0		
contig_10	224934	225092	-	GJAFJC_04348	5.9	10.0		
contig_10	233436	234056	+	GJAFJC_04360	23.6	6.9	PF00268.27|Ribonuc_red_sm	PFAM:PF00268.27
contig_10	234087	234395	+	GJAFJC_04361	11.5	4.1	PF00268.27|Ribonuc_red_sm	PFAM:PF00268.27
contig_11	5301	5480	-	GJAFJC_04370	6.4	5.6		
contig_11	14206	14424	-	GJAFJC_04376	8.6	8.7		
contig_11	21726	21833	+	GJAFJC_04385	4.0	10.8		
contig_11	22261	22368	+	GJAFJC_04387	4.0	10.8		
contig_11	53190	53924	+	GJAFJC_04415	27.8	9.2	PF07238.19|PilZ, PF07317.18|PilZN	PFAM:PF07238.19, PFAM:PF07317.18
contig_11	57484	57636	-	GJAFJC_04419	5.6	4.5		
contig_11	75668	75994	-	GJAFJC_04439	11.8	8.1	PF03797.25|Autotransporter	PFAM:PF03797.25
contig_11	76648	76932	+	GJAFJC_04440	8.7	10.5	PF13441.11|Gly-zipper_YMGG, PF13488.11|Gly-zipper_Omp	PFAM:PF13441.11, PFAM:PF13488.11
contig_11	79006	79989	-	GJAFJC_04443	35.1	4.7		
contig_11	88366	88521	-	GJAFJC_04453	5.9	10.1		SO:0001217, UniRef:UniRef50_A0A234EMI3
contig_11	88644	89030	-	GJAFJC_04454	14.8	4.4		
contig_11	94842	95135	-	GJAFJC_04460	10.9	6.2		SO:0001217, UniRef:UniRef50_A0A096FDA3
contig_11	128006	128905	+	GJAFJC_04502	32.2	5.4		SO:0001217, UniRef:UniRef50_B7ULR7
contig_11	129673	130254	-	GJAFJC_04504	22.5	8.4		
contig_11	130956	131120	+	GJAFJC_04506	6.0	9.0		
contig_11	131089	131232	+	GJAFJC_04507	5.5	9.6		
contig_11	133223	133414	+	GJAFJC_04512	6.9	5.2		
contig_11	141713	141814	+	GJAFJC_04524	3.9	10.0		
contig_11	174274	174627	+	GJAFJC_04557	13.4	9.0		SO:0001217, UniRef:UniRef50_A0A0A2RHB5
contig_11	176003	176149	-	GJAFJC_04561	5.1	9.7		
contig_11	178172	178333	-	GJAFJC_04565	5.6	5.5		
contig_11	183232	183411	-	GJAFJC_04577	7.0	7.8		
contig_11	183532	184518	-	GJAFJC_04578	36.3	5.1		
contig_11	189683	189910	-	GJAFJC_04589	8.2	9.8	PF14549.12|P22_Cro	PFAM:PF14549.12
contig_11	190765	191139	+	GJAFJC_04592	14.1	5.9		SO:0001217, UniRef:UniRef50_A0A0H0P8S9
contig_11	195519	195788	+	GJAFJC_04600	10.2	9.3	PF07825.17|Exc	PFAM:PF07825.17
contig_12	15459	15623	+	GJAFJC_04644	6.5	9.4		SO:0001217, UniRef:UniRef50_A0A8B6WVV8
contig_12	70844	71128	-	GJAFJC_04698	10.3	4.3		
contig_12	82333	82551	+	GJAFJC_04708	7.9	4.1		
contig_12	105353	107848	-	GJAFJC_04726	92.2	5.1	PF00359.27|PTS_EIIA_2, PF00381.24|PTS-HPr, PF00391.29|PEP-utilizers, PF02896.24|PEP-utilizers_C	PFAM:PF00359.27, PFAM:PF00381.24, PFAM:PF00391.29, PFAM:PF02896.24
contig_12	114365	114691	+	GJAFJC_04733	13.3	10.1		
contig_12	123462	123803	+	GJAFJC_04746	12.5	5.1	PF14282.11|FlxA	PFAM:PF14282.11
contig_12	182877	183077	+	GJAFJC_04806	8.1	8.0		
contig_12	219409	219582	+	GJAFJC_04839	6.9	11.9		
contig_13	23451	23540	-	GJAFJC_04864	3.3	4.5		
contig_13	39074	39277	+	GJAFJC_04881	7.0	9.0		
contig_13	55700	56677	-	GJAFJC_04898	37.0	4.8	PF08238.18|Sel1, PF23310.1|TPR_27	PFAM:PF08238.18, PFAM:PF23310.1
contig_13	58982	59536	-	GJAFJC_04901	21.0	9.5	PF08238.18|Sel1	PFAM:PF08238.18
contig_13	76400	76663	+	GJAFJC_04924	9.6	6.7		
contig_13	120852	120959	-	GJAFJC_04965	3.8	9.1		
contig_13	143472	143894	-	GJAFJC_04987	15.7	4.7		SO:0001217, UniRef:UniRef50_A0A0K4B1W9
contig_13	148463	148576	+	GJAFJC_04991	4.0	4.4		
contig_13	159164	159544	-	GJAFJC_05010	12.9	4.6		
contig_13	194893	195282	+	GJAFJC_05044	14.6	8.6		
contig_14	1897	3255	-	GJAFJC_05068	51.6	6.3		
contig_14	18547	18972	-	GJAFJC_05079	16.1	5.7	PF04965.19|GPW_gp25	PFAM:PF04965.19
contig_14	22294	22413	+	GJAFJC_05083	4.3	6.9		
contig_14	25248	26819	+	GJAFJC_05086	59.2	5.4		SO:0001217, UniRef:UniRef50_A0A0H2V8I4
contig_14	40682	41440	+	GJAFJC_05101	29.3	9.5		
contig_14	64388	65590	+	GJAFJC_05133	41.9	4.1	PF06429.18|Flg_bbr_C, PF07559.19|FlgE_D2, PF22692.1|LlgE_F_G_D1	PFAM:PF06429.18, PFAM:PF07559.19, PFAM:PF22692.1
contig_14	83887	84084	+	GJAFJC_05157	7.6	6.0		
contig_14	84373	84747	+	GJAFJC_05158	14.4	9.2	PF13508.13|Acetyltransf_7, PF13673.13|Acetyltransf_10	PFAM:PF13508.13, PFAM:PF13673.13
contig_14	99925	100359	+	GJAFJC_05177	16.9	6.4		
contig_14	101667	101927	+	GJAFJC_05180	9.8	9.5	PF01381.28|HTH_3, PF13560.12|HTH_31	PFAM:PF01381.28, PFAM:PF13560.12
contig_14	102468	102806	+	GJAFJC_05182	12.1	9.3		
contig_14	103760	104248	+	GJAFJC_05184	18.6	9.9		SO:0001217, UniRef:UniRef50_A0AAX0LVX8
contig_14	110788	111651	+	GJAFJC_05195	32.8	5.7		
contig_14	114440	114622	+	GJAFJC_05199	6.4	9.1		
contig_14	117761	117961	+	GJAFJC_05203	7.1	9.1		
contig_14	119741	119911	+	GJAFJC_05208	6.4	9.3		
contig_14	121747	122016	+	GJAFJC_05211	9.9	5.2		
contig_15	117	1442	+	GJAFJC_05219	48.6	4.8		
contig_15	9387	9674	+	GJAFJC_05231	11.0	9.4		SO:0001217, UniRef:UniRef50_A0A828PH07
contig_15	19388	19849	-	GJAFJC_05248	17.5	9.2		
contig_15	28501	28842	+	GJAFJC_05258	12.5	8.4		
contig_15	52364	52522	+	GJAFJC_05285	5.5	4.7	PF01323.26|DSBA	PFAM:PF01323.26
contig_15	62934	63254	+	GJAFJC_05297	11.8	4.7		
contig_16	26851	27027	+	GJAFJC_05324	6.8	5.3		SO:0001217, UniRef:UniRef50_I4N3R5
contig_16	27686	27937	+	GJAFJC_05327	9.3	4.7		
contig_16	31928	34219	+	GJAFJC_05333	87.0	6.4		
contig_16	40876	41142	-	GJAFJC_05341	10.5	9.9		
contig_16	45856	47181	-	GJAFJC_05347	48.6	4.8		
contig_17	360	710	-	GJAFJC_05348	12.3	6.7	PF21716.3|dnstrm_HI1420	PFAM:PF21716.3
contig_17	4389	4604	-	GJAFJC_05353	7.9	6.7		
contig_17	13042	13383	-	GJAFJC_05363	13.4	4.9		
contig_17	14440	14697	-	GJAFJC_05366	9.5	7.8		
contig_17	22520	22747	-	GJAFJC_05375	8.4	8.9		
contig_17	27256	27483	-	GJAFJC_05380	8.7	9.0		SO:0001217, UniRef:UniRef50_B7LJD3
contig_17	30303	30575	-	GJAFJC_05384	10.4	10.7		
contig_17	30588	30737	-	GJAFJC_05385	5.7	9.9		
contig_17	30806	31117	-	GJAFJC_05386	12.2	5.9		SO:0001217, UniRef:UniRef50_A0A097H0B9
contig_17	31114	31488	-	GJAFJC_05387	13.0	5.0		
contig_17	31540	31839	-	GJAFJC_05388	11.7	5.0		SO:0001217, UniRef:UniRef50_A0AAP8VU78
contig_17	32749	33291	-	GJAFJC_05391	20.7	8.7		SO:0001217, UniRef:UniRef50_A0A6D0D791
