#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	2378555	2379025	-	DBOHML_02424	18.0	9.2	PF07308.18|DUF1456	PFAM:PF07308.18, SO:0001217, UniRef:UniRef50_A0A0H2V0J0
contig_1	2444579	2444923	-	DBOHML_02482	12.5	4.8		
contig_1	2449204	2449488	+	DBOHML_02486	10.7	9.6	PF01386.24|Ribosomal_L25p	PFAM:PF01386.24
contig_1	2481772	2484621	-	DBOHML_02522	106.5	6.0	PF00072.30|Response_reg, PF00512.31|HisKA, PF02518.31|HATPase_c, PF09456.16|RcsC	PFAM:PF00072.30, PFAM:PF00512.31, PFAM:PF02518.31, PFAM:PF09456.16
contig_1	2516568	2516699	+	DBOHML_02544	4.9	4.6		
contig_1	2516878	2517948	+	DBOHML_02545	41.2	6.3		SO:0001217, UniRef:UniRef50_A0A4C9CWG2
contig_1	2526110	2526307	+	DBOHML_02552	7.3	5.0		
contig_1	2548427	2548732	-	DBOHML_02575	11.3	5.3	PF05957.18|DUF883	PFAM:PF05957.18
contig_1	2568951	2569115	+	DBOHML_02594	6.5	9.4		SO:0001217, UniRef:UniRef50_A0A8B6WVV8
contig_1	2624336	2624620	-	DBOHML_02648	10.3	4.3		
contig_1	2635825	2636043	+	DBOHML_02658	7.9	4.1		
contig_1	2658845	2661340	-	DBOHML_02676	92.2	5.1	PF00359.27|PTS_EIIA_2, PF00381.24|PTS-HPr, PF00391.29|PEP-utilizers, PF02896.24|PEP-utilizers_C	PFAM:PF00359.27, PFAM:PF00381.24, PFAM:PF00391.29, PFAM:PF02896.24
contig_1	2667857	2668183	+	DBOHML_02683	13.3	10.1		
contig_1	2676954	2677295	+	DBOHML_02696	12.5	5.1	PF14282.11|FlxA	PFAM:PF14282.11
contig_1	2736369	2736569	+	DBOHML_02756	8.1	8.0		
contig_1	2772901	2773074	+	DBOHML_02789	6.9	11.9		
contig_1	2781442	2781609	+	DBOHML_02804	6.3	9.8		
contig_1	2781760	2781918	+	DBOHML_02805	5.8	11.0		
contig_1	2782356	2782652	-	DBOHML_02807	10.9	5.5		SO:0001217, UniRef:UniRef50_A8H9P8
contig_1	2798620	2798826	-	DBOHML_02822	7.0	6.1		
contig_1	2810297	2811178	+	DBOHML_02843	32.1	5.5		
contig_1	2811634	2811885	+	DBOHML_02845	9.2	9.3		
contig_1	2824204	2826918	-	DBOHML_02853	96.8	4.8	PF05688.17|BIg21, PF05689.17|InvE_AD	PFAM:PF05688.17, PFAM:PF05689.17
contig_1	2909464	2909637	+	DBOHML_02931	6.8	6.7		
contig_1	2920311	2920583	+	DBOHML_02942	9.9	5.7		
contig_1	2956068	2956607	+	DBOHML_02981	20.5	4.5		SO:0001217, UniRef:UniRef50_UPI0007A6317C
contig_1	2956816	2957208	+	DBOHML_02982	14.4	5.4	PF12826.13|HHH_2	PFAM:PF12826.13
contig_1	2966223	2966432	-	DBOHML_02990	7.4	4.5		
contig_1	2967076	2967384	+	DBOHML_02992	11.0	4.9		
contig_1	2974763	2976442	+	DBOHML_03000	65.2	6.8	PF00496.27|SBP_bac_5	PFAM:PF00496.27
contig_1	2981322	2981897	+	DBOHML_03005	21.9	9.0		
contig_1	3000007	3000165	-	DBOHML_03016	5.9	10.0		
contig_1	3008509	3009129	+	DBOHML_03028	23.6	6.9	PF00268.27|Ribonuc_red_sm	PFAM:PF00268.27
contig_1	3009160	3009468	+	DBOHML_03029	11.5	4.1	PF00268.27|Ribonuc_red_sm	PFAM:PF00268.27
contig_1	3024286	3024375	+	DBOHML_03049	3.5	8.2		
contig_1	3062698	3062832	-	DBOHML_03088	4.9	6.0		
contig_1	3083019	3083618	-	DBOHML_03110	21.8	9.6		
contig_1	3091161	3091313	-	DBOHML_03117	5.6	7.7		
contig_1	3196067	3196207	-	DBOHML_03212	5.6	5.6		
contig_1	3196183	3196608	-	DBOHML_03213	16.2	9.2		
contig_1	3196787	3196882	+	DBOHML_03214	3.7	8.2		
contig_1	3217983	3218732	-	DBOHML_03240	28.3	6.3	PF00165.29|HTH_AraC, PF12833.13|HTH_18	PFAM:PF00165.29, PFAM:PF12833.13
contig_1	3219078	3219257	-	DBOHML_03241	6.6	9.4		
contig_1	3260291	3261001	-	DBOHML_03272	25.6	6.3	PF01323.26|DSBA, PF10411.14|DsbC_N, PF13098.12|Thioredoxin_2	PFAM:PF01323.26, PFAM:PF10411.14, PFAM:PF13098.12
contig_1	3322001	3322456	+	DBOHML_03335	17.8	9.8	PF10263.15|SprT-like, PF17283.8|Zn_ribbon_SprT	PFAM:PF10263.15, PFAM:PF17283.8
contig_1	3348741	3349070	-	DBOHML_03364	12.0	5.9		
contig_1	3349194	3349625	-	DBOHML_03365	15.6	6.0		
contig_1	3364243	3364356	-	DBOHML_03386	4.4	10.2	PF03245.18|Phage_lysis	PFAM:PF03245.18
contig_1	3364998	3365630	-	DBOHML_03388	24.3	9.7		
contig_1	3366182	3366442	+	DBOHML_03389	9.2	5.1	PF07338.18|YdgH_BhsA-like	PFAM:PF07338.18
contig_1	3368943	3369185	-	DBOHML_03395	8.9	5.3		SO:0001217, UniRef:UniRef50_A0AAW7V5N9
contig_1	3378453	3379034	-	DBOHML_03404	22.2	9.0		SO:0001217, UniRef:UniRef50_A0AA36P836
contig_1	3406265	3406573	-	DBOHML_03425	11.0	9.5		
contig_1	3427188	3427928	+	DBOHML_03446	28.3	5.5	PF08843.17|AbiEii	PFAM:PF08843.17
contig_1	3428553	3428708	+	DBOHML_03447	5.8	9.7		
contig_1	3686807	3687085	+	DBOHML_03699	10.5	9.9	PF13693.12|HTH_35	PFAM:PF13693.12
contig_1	3730410	3730673	+	DBOHML_03744	9.2	5.7	PF07338.18|YdgH_BhsA-like	PFAM:PF07338.18
contig_1	3763254	3763544	-	DBOHML_03772	11.1	8.9		SO:0001217, UniRef:UniRef50_J7QA02
contig_1	3868737	3868835	+	DBOHML_03900	3.8	5.0		
contig_1	3960894	3961070	-	DBOHML_03988	6.6	6.7		SO:0001217, UniRef:UniRef50_A0A447X5K8
contig_1	4016804	4017082	-	DBOHML_04043	9.8	9.8		SO:0001217, UniRef:UniRef50_A0A2S8JRI1
contig_1	4021374	4021655	-	DBOHML_04047	10.5	10.3		
contig_1	4039579	4039986	-	DBOHML_04062	16.1	9.1		
contig_1	4040048	4040350	-	DBOHML_04063	11.6	5.1		SO:0001217, UniRef:UniRef50_A0A5J5FQ78
contig_1	4040372	4040851	-	DBOHML_04064	18.5	5.1		SO:0001217, UniRef:UniRef50_A0A0P7MTR7
contig_1	4041205	4041630	-	DBOHML_04066	15.9	5.4		SO:0001217, UniRef:UniRef50_A0A0Q3IL72
contig_1	4056355	4056624	-	DBOHML_04075	10.6	11.8		
contig_1	4070914	4071087	-	DBOHML_04092	6.8	6.7		
contig_1	4149129	4150388	+	DBOHML_04164	46.6	9.9	PF01551.29|Peptidase_M23	PFAM:PF01551.29
contig_1	4191406	4192503	-	DBOHML_04204	41.1	5.5	PF01055.32|Glyco_hydro_31_2nd, PF21365.3|Glyco_hydro_31_3rd	PFAM:PF01055.32, PFAM:PF21365.3
contig_1	4229013	4230482	-	DBOHML_04231	55.1	5.4		SO:0001217, UniRef:UniRef50_A0AAN3TTQ2
contig_1	4230758	4232053	-	DBOHML_04232	48.1	6.4		SO:0001217, UniRef:UniRef50_A0A7L7ED11
contig_1	4232318	4232608	-	DBOHML_04233	11.1	5.7	PF01842.31|ACT, PF13710.12|ACT_5, PF22629.2|ACT_AHAS_ss	PFAM:PF01842.31, PFAM:PF13710.12, PFAM:PF22629.2
contig_1	4237931	4238380	+	DBOHML_04241	15.7	9.1		
contig_1	4249824	4250084	+	DBOHML_04251	9.3	5.2		
contig_1	4283677	4283826	+	DBOHML_04283	5.3	10.3		
contig_1	4384478	4384918	-	DBOHML_04379	15.8	5.8	PF20257.3|SAM_HAT_C	PFAM:PF20257.3
contig_1	4384946	4385380	-	DBOHML_04380	15.7	6.7	PF01887.21|SAM_HAT_N	PFAM:PF01887.21
contig_1	4431526	4431711	-	DBOHML_04429	7.2	9.7		
contig_1	4436152	4436661	+	DBOHML_04434	19.1	6.4		
contig_1	4445819	4446214	+	DBOHML_04443	14.6	6.9		
contig_1	4467851	4467979	+	DBOHML_04466	4.6	7.9		
contig_1	4477191	4477505	-	DBOHML_04474	12.3	5.3	PF05336.19|rhaM	PFAM:PF05336.19
contig_1	4514225	4515262	+	DBOHML_04518	39.5	6.7		SO:0001217, UniRef:UniRef50_A0A1I7E5F8
contig_1	4523736	4523840	-	DBOHML_04527	3.8	4.1		
contig_1	4612695	4612895	-	DBOHML_04611	7.3	4.4	PF02597.26|ThiS	PFAM:PF02597.26
contig_1	4639964	4642150	-	DBOHML_04637	82.7	8.5	PF12796.13|Ank_2	PFAM:PF12796.13
contig_1	4661635	4661877	+	DBOHML_04654	7.4	5.8		
contig_1	4686600	4686842	+	DBOHML_04677	9.1	10.2		
contig_1	4731127	4731456	+	DBOHML_04721	13.5	4.8		
contig_1	4742392	4742835	-	DBOHML_04736	16.1	5.0	PF00903.31|Glyoxalase	PFAM:PF00903.31
contig_1	4779520	4779909	-	DBOHML_04768	15.0	4.8		
contig_1	4816140	4816448	+	DBOHML_04806	11.2	7.0	PF17209.9|Hfq	PFAM:PF17209.9
contig_1	4850113	4851597	+	DBOHML_04845	56.5	5.1	PF13644.11|DKNYY	PFAM:PF13644.11
contig_1	4895192	4895545	+	DBOHML_04887	13.9	5.3		
contig_1	4895532	4895762	+	DBOHML_04888	9.3	8.8		
contig_1	4915080	4915274	+	DBOHML_04908	6.9	4.5		
contig_1	4917260	4917703	-	DBOHML_04910	15.8	4.9		
contig_1	4919784	4920143	-	DBOHML_04913	14.0	10.8		
contig_1	4925800	4925925	+	DBOHML_04917	4.8	9.2		
contig_1	4943467	4943577	-	DBOHML_04939	4.2	8.6		
contig_1	4948566	4948802	-	DBOHML_04945	8.4	9.7		SO:0001217, UniRef:UniRef50_A0A0E2KXY2
contig_1	4984415	4985431	+	DBOHML_04981	38.0	6.6	PF13087.12|AAA_12, PF13091.12|PLDc_2	PFAM:PF13087.12, PFAM:PF13091.12, SO:0001217, UniRef:UniRef50_A0A3F3NZU4
contig_1	5007173	5007274	+	DBOHML_05000	3.9	8.2		
contig_1	5060486	5060956	-	DBOHML_05044	16.4	9.0		
contig_1	5061011	5061847	-	DBOHML_05045	30.8	9.4		
contig_1	5089222	5089449	-	DBOHML_05084	8.8	9.7	PF04545.22|Sigma70_r4	PFAM:PF04545.22
contig_1	5117084	5117380	+	DBOHML_05111	11.4	10.1		
contig_1	5123232	5123636	-	DBOHML_05118	14.5	7.7		
contig_1	5150255	5150473	-	DBOHML_05142	8.2	9.0		SO:0001217, UniRef:UniRef50_A0A658YVE2
contig_1	5150508	5150903	+	DBOHML_05143	15.4	9.0		
contig_1	5174805	5175536	+	DBOHML_05165	27.3	5.2	PF00805.28|Pentapeptide	PFAM:PF00805.28
contig_1	5195187	5195318	+	DBOHML_05181	5.4	6.7		
contig_1	5245748	5247601	-	DBOHML_05228	69.4	8.6		
contig_2	6893	7027	-	DBOHML_05235	5.1	8.3		SO:0001217, UniRef:UniRef50_A0A0J2D5W8
contig_2	33993	34169	+	DBOHML_05262	6.8	5.3		SO:0001217, UniRef:UniRef50_I4N3R5
contig_2	34828	35079	+	DBOHML_05265	9.3	4.7		
contig_2	39070	41361	+	DBOHML_05271	87.0	6.4		
contig_2	48018	48284	-	DBOHML_05279	10.5	9.9		
contig_2	52262	52513	-	DBOHML_05284	9.1	10.5		
contig_2	55968	56288	+	DBOHML_05289	11.7	12.0		
contig_2	56605	56796	-	DBOHML_05290	7.3	9.8		
contig_2	63940	64356	-	DBOHML_05301	15.5	4.8		
contig_2	68724	68978	+	DBOHML_05307	9.9	5.3		
contig_2	69781	70833	+	DBOHML_05309	40.2	9.1		SO:0001217, UniRef:UniRef50_R8X255
contig_2	76654	76941	+	DBOHML_05318	10.8	9.0	PF08281.18|Sigma70_r4_2	PFAM:PF08281.18
contig_2	79404	79997	+	DBOHML_05322	23.4	9.7		
contig_3	815	1156	+	DBOHML_05329	13.4	4.9		
contig_3	9594	9809	+	DBOHML_05339	7.9	6.7		
contig_3	13488	13838	+	DBOHML_05344	12.3	6.7	PF21716.3|dnstrm_HI1420	PFAM:PF21716.3
contig_3	15092	15634	+	DBOHML_05346	20.7	8.7		SO:0001217, UniRef:UniRef50_A0A6D0D791
