# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	cds	35035	37293	+	DBOHML_00033	999.0	0.0	1.011	1.020	0.666	UniRef:UniRef50_A0A735A5P7
contig_1	cds	37344	38141	+	DBOHML_00034	424.0	2.6e-149	0.996	0.852	0.795	UniRef:UniRef50_P07821
contig_1	cds	38141	39031	+	DBOHML_00035	592.0	4.9e-215	1.0	0.925	0.983	UniRef:UniRef50_P07822
contig_1	cds	39028	41010	+	DBOHML_00036	1193.0	0.0	1.083	1.0	0.910	UniRef:UniRef50_A0A0J8YC22
contig_1	cds	41045	42325	-	DBOHML_00037	653.0	1.8e-234	1.0	0.908	0.739	UniRef:UniRef50_Q5NGB9
contig_1	cds	42550	43971	+	DBOHML_00038	752.0	4.4e-274	0.818	0.995	1.0	UniRef:UniRef50_A0A376X673
contig_1	sorf	43995	44060	+	DBOHML_00039	44.7	1.9e-12	1.0	1.0	1.0	UniRef:UniRef50_P0DPM7
contig_1	cds	44053	44397	+	DBOHML_00040	135.0	4.9e-41	0.807	0.979	0.652	UniRef:UniRef50_A0A920M0K7
contig_1	cds	44444	45067	-	DBOHML_00041	254.0	3.8e-84	0.981	0.849	0.665	UniRef:UniRef50_P0AFP0
contig_1	cds	45105	45905	-	DBOHML_00042	484.0	2.3e-173	0.921	0.845	0.996	UniRef:UniRef50_P37028
contig_1	cds	45898	46596	-	DBOHML_00043	269.0	1.8e-89	1.065	0.984	0.583	UniRef:UniRef50_B7GIU7
contig_1	cds	46680	48197	+	DBOHML_00044	552.0	5.4e-192	1.002	0.889	0.579	UniRef:UniRef50_P15723
contig_1	ncRNA-region	48287	48332	+	-	77.2	2.3e-13	-	-	-	RFAM:RF02700
contig_1	cds	48327	49751	+	DBOHML_00045	606.0	2.2e-214	1.110	1.0	0.650	UniRef:UniRef50_P26982
contig_1	cds	49906	51063	+	DBOHML_00046	751.0	2.6e-277	1.0	1.0	0.997	BlastRules:WP_000929443
contig_1	cds	51117	51503	-	DBOHML_00047	221.0	9.0e-74	0.992	0.819	0.874	UniRef:UniRef50_P62768
contig_1	cds	51816	52640	-	DBOHML_00048	368.0	2.7e-128	0.810	1.0	0.959	UniRef:UniRef50_A0A3S4UQ12
contig_1	cds	52671	55343	-	DBOHML_00049	1365.0	0.0	0.999	0.951	0.757	UniRef:UniRef50_P27249
contig_1	cds	55405	56199	-	DBOHML_00050	463.0	1.4e-164	0.996	0.824	0.837	UniRef:UniRef50_P0A1X6
contig_1	ncRNA	56453	56539	+	DBOHML_00051	84.2	2.2e-13	-	-	-	RFAM:RF00127
contig_1	cds	56567	57292	+	DBOHML_00052	402.0	1.2e-141	0.988	0.912	0.845	UniRef:UniRef50_P44371
contig_1	ncRNA	57378	57487	+	DBOHML_00053	136.3	2.5e-22	-	-	-	RFAM:RF02798
contig_1	cds	57550	58401	+	DBOHML_00054	359.0	9.9e-124	0.996	0.966	0.684	UniRef:UniRef50_A5WCX3
contig_1	cds	58548	59273	+	DBOHML_00055	384.0	1.6e-134	0.979	0.846	0.835	UniRef:UniRef50_P0A7E9
contig_1	cds	59565	60122	+	DBOHML_00056	298.0	2.5e-102	1.0	0.853	0.843	UniRef:UniRef50_Q5NZH2
contig_1	cds	60214	61410	+	DBOHML_00057	687.0	2.7e-249	0.997	0.928	0.889	UniRef:UniRef50_Q57T35
contig_1	cds	61599	62357	+	DBOHML_00058	449.0	2.7e-159	0.984	0.803	0.899	UniRef:UniRef50_P60472
contig_1	cds	62357	62509	+	DBOHML_00059	97.1	2.7e-27	1.0	1.0	0.960	UniRef:UniRef50_A0A6N3QSQ0
contig_1	cds	62478	63227	+	DBOHML_00060	394.0	5.2e-138	1.0	0.856	0.771	UniRef:UniRef50_A0A7X3SB20
contig_1	cds	63239	64591	+	DBOHML_00061	794.0	1.0e-288	1.0	0.843	0.882	UniRef:UniRef50_Q8ZRP1
contig_1	cds	64621	67053	+	DBOHML_00062	1231.0	0.0	1.010	1.0	0.731	UniRef:UniRef50_B2VE18
contig_1	cds	67175	67660	+	DBOHML_00063	252.0	1.5e-85	0.876	0.986	1.0	UniRef:UniRef50_A0A3S4FYR1
contig_1	cds	67664	68689	+	DBOHML_00064	288.0	2.0e-93	0.977	0.883	0.598	UniRef:UniRef50_P21645
contig_1	cds	68794	69249	+	DBOHML_00065	272.0	3.2e-93	1.0	0.825	0.887	UniRef:UniRef50_Q9KPW3
contig_1	cds	69253	70041	+	DBOHML_00066	325.0	6.2e-112	0.802	1.0	0.986	UniRef:UniRef50_A0A2X3F9N2
contig_1	cds	70041	71189	+	DBOHML_00067	662.0	1.7e-240	0.880	0.936	0.979	UniRef:UniRef50_A0A376LI07
contig_1	cds	71186	71782	+	DBOHML_00068	243.0	6.1e-80	1.0	0.805	0.646	UniRef:UniRef50_Q8EGG1
contig_1	cds	71819	75301	+	DBOHML_00069	2089.0	0.0	0.950	0.896	0.949	UniRef:UniRef50_P10443
contig_1	cds	75314	76273	+	DBOHML_00070	410.0	7.5e-142	0.994	0.832	0.647	UniRef:UniRef50_Q4ZWR2
contig_1	cds	76372	78513	+	DBOHML_00071	1452.0	0.0	1.0	1.0	0.996	BlastRules:WP_001020954
contig_1	cds	78570	78959	+	DBOHML_00072	208.0	9.3e-69	0.984	0.830	0.764	UniRef:UniRef50_A0A1V5LLX3
contig_1	cds	79024	80319	+	DBOHML_00073	559.0	6.5e-199	0.845	0.997	0.739	UniRef:UniRef50_A0A378BF75
contig_1	cds	80368	80628	-	DBOHML_00074	-	-	-	-	-	-
contig_1	cds	80615	80815	-	DBOHML_00075	77.4	5.8e-19	0.894	0.808	0.593	UniRef:UniRef50_Q5E739
contig_1	cds	80981	81526	+	DBOHML_00076	303.0	9.1e-105	0.983	0.932	0.815	UniRef:UniRef50_A0A0H3GIN7
contig_1	cds	81523	81945	+	DBOHML_00077	226.0	3.7e-75	1.221	1.0	0.772	UniRef:UniRef50_P40711
contig_1	cds	81959	82669	+	DBOHML_00078	471.0	1.7e-169	1.0	0.944	0.979	UniRef:UniRef50_P40710
contig_1	cds	82699	83523	-	DBOHML_00079	521.0	5.6e-188	1.0	0.938	0.953	UniRef:UniRef50_P37056
contig_1	cds	83576	85294	-	DBOHML_00080	860.0	5.9e-312	1.005	0.963	0.734	UniRef:UniRef50_G2H1A0
contig_1	cds	85405	86112	-	DBOHML_00081	342.0	4.7e-119	0.817	1.0	0.865	UniRef:UniRef50_A0A2X3KIH5
contig_1	cds	86109	86513	-	DBOHML_00082	136.0	3.5e-40	1.097	1.014	0.537	UniRef:UniRef50_P69411
contig_1	cds	86631	87446	-	DBOHML_00083	526.0	1.9e-192	1.0	1.0	0.996	BlastRules:WP_000874226
contig_1	cds	87486	88139	-	DBOHML_00084	-	-	-	-	-	-
contig_1	cds	88132	89163	-	DBOHML_00085	639.0	1.6e-234	1.0	1.0	0.956	BlastRules:WP_000594016
contig_1	cds	89351	89923	+	DBOHML_00086	275.0	6.6e-93	0.989	0.814	0.697	UniRef:UniRef50_P63228
contig_1	rRNA	90289	91830	+	DBOHML_00087	1578.3	8.3e-48	-	-	-	RFAM:RF00177
contig_1	tRNA	91899	91975	+	DBOHML_00088	75.8	-	-	-	-	-
contig_1	tRNA	92018	92093	+	DBOHML_00089	78.1	-	-	-	-	-
contig_1	ncRNA	92161	92269	+	DBOHML_00090	125.0	1.0e-21	-	-	-	RFAM:RF01830
contig_1	rRNA	92277	95181	+	DBOHML_00091	2868.1	6.0e-06	-	-	-	RFAM:RF02541
contig_1	rRNA	95277	95392	+	DBOHML_00092	93.0	2.2e-15	-	-	-	RFAM:RF00001
contig_1	tRNA	95447	95523	+	DBOHML_00093	85.5	-	-	-	-	-
contig_1	cds	95686	96489	+	DBOHML_00094	343.0	1.9e-117	1.0	0.878	0.633	UniRef:UniRef50_A0A854CNT9
contig_1	cds	96486	97400	-	DBOHML_00095	469.0	1.7e-166	0.964	0.987	0.823	UniRef:UniRef50_A0A2X4UCV0
contig_1	cds	97662	98441	+	DBOHML_00096	352.0	5.3e-121	0.988	0.859	0.652	UniRef:UniRef50_D3VBQ6
contig_1	cds	98518	99288	+	DBOHML_00097	369.0	1.6e-128	0.996	0.996	0.710	UniRef:UniRef50_A0A0H2W219
contig_1	cds	99336	100556	-	DBOHML_00098	611.0	3.0e-220	0.865	1.0	0.915	UniRef:UniRef50_A0A484W0K2
contig_1	cds	100766	101521	-	DBOHML_00099	327.0	7.0e-112	0.992	0.973	0.631	UniRef:UniRef50_Q6D1V5
contig_1	cds	101555	102277	+	DBOHML_00100	482.0	2.6e-173	0.971	0.850	0.996	UniRef:UniRef50_P75672
contig_1	cds	102274	102741	-	DBOHML_00101	246.0	9.1e-83	0.981	0.822	0.737	UniRef:UniRef50_Q1I7T4
contig_1	cds	102797	103537	+	DBOHML_00102	339.0	6.8e-117	0.984	0.924	0.661	UniRef:UniRef50_A0A379F748
contig_1	tRNA	103670	103746	+	DBOHML_00103	85.5	-	-	-	-	-
contig_1	cds	104073	104858	+	DBOHML_00104	345.0	2.4e-118	1.0	0.897	0.667	UniRef:UniRef50_P77339
contig_1	cds	105198	105677	-	DBOHML_00105	226.0	4.6e-75	1.0	0.903	0.686	UniRef:UniRef50_Q6TKT6
contig_1	cds	105695	107053	-	DBOHML_00106	-	-	-	-	-	-
contig_1	cds	107064	110591	-	DBOHML_00107	1604.0	0.0	1.006	1.0	0.673	UniRef:UniRef50_A0A379SGC7
contig_1	cds	110611	112053	-	DBOHML_00108	684.0	2.4e-245	1.002	0.976	0.732	UniRef:UniRef50_A0A1C9CJH0
contig_1	cds	112058	112801	-	DBOHML_00109	301.0	7.7e-103	1.0	1.273	0.684	UniRef:UniRef50_A0A376X608
contig_1	cds	112798	115530	-	DBOHML_00110	1562.0	0.0	1.002	0.840	0.904	UniRef:UniRef50_A0A5U9PQH3
contig_1	cds	115540	116313	-	DBOHML_00111	272.0	4.2e-90	0.907	0.883	0.567	UniRef:UniRef50_D3VFB0
contig_1	cds	116318	117664	-	DBOHML_00112	647.0	1.0e-231	1.0	0.924	0.725	UniRef:UniRef50_Q6TKU3
contig_1	cds	117667	118191	-	DBOHML_00113	282.0	8.8e-97	0.977	0.929	0.806	UniRef:UniRef50_A0A9P3SPA1
contig_1	cds	118188	119468	-	DBOHML_00114	540.0	1.0e-189	0.967	0.836	0.701	UniRef:UniRef50_B7N888
contig_1	cds	119485	120534	-	DBOHML_00115	382.0	7.8e-131	0.931	0.918	0.594	UniRef:UniRef50_A0A4U6LWM9
contig_1	cds	120498	122339	-	DBOHML_00116	728.0	3.2e-258	1.015	0.976	0.571	UniRef:UniRef50_B5R7C0
contig_1	cds	122345	122770	-	DBOHML_00117	-	-	-	-	-	-
contig_1	cds	122775	124259	-	DBOHML_00118	813.0	3.2e-295	0.964	0.856	0.824	UniRef:UniRef50_Q2T6Y3
contig_1	cds	124282	124785	-	DBOHML_00119	192.0	2.2e-61	0.952	0.964	0.604	UniRef:UniRef50_D3VFB8
contig_1	cds	125488	126006	+	DBOHML_00120	346.0	3.1e-124	1.0	1.0	0.936	VFDB:VFG049915
contig_1	cds	126092	126211	+	DBOHML_00121	-	-	-	-	-	-
contig_1	cds	126227	128185	+	DBOHML_00122	808.0	7.4e-287	1.066	0.862	0.632	UniRef:UniRef50_A8APK4
contig_1	cds	128185	129024	+	DBOHML_00123	342.0	3.0e-117	0.968	0.954	0.619	UniRef:UniRef50_A0A0H2V7C0
contig_1	cds	129046	130617	+	DBOHML_00124	700.0	2.2e-250	0.998	0.963	0.667	UniRef:UniRef50_A0A0H2V8I4
contig_1	cds	130732	131694	+	DBOHML_00125	541.0	6.4e-194	1.003	0.925	0.844	UniRef:UniRef50_B7N898
contig_1	cds	132007	132963	+	DBOHML_00126	583.0	2.1e-210	0.937	0.835	0.956	UniRef:UniRef50_A0A384L4F2
contig_1	cds	133495	134745	+	DBOHML_00127	548.0	6.2e-194	0.993	0.990	0.620	UniRef:UniRef50_A0A7W0QVD7
contig_1	cds	135192	135662	+	DBOHML_00128	278.0	4.1e-96	0.904	0.959	0.943	UniRef:UniRef50_A0A0D8W9P3
contig_1	cds	135672	136328	+	DBOHML_00129	412.0	3.5e-146	1.0	0.838	0.945	UniRef:UniRef50_A0A6N8NLE0
contig_1	cds	136448	136951	+	DBOHML_00130	332.0	7.1e-117	0.994	0.960	0.994	UniRef:UniRef50_Q6TKW0
contig_1	cds	137042	137530	+	DBOHML_00131	294.0	9.9e-102	1.0	0.890	0.963	UniRef:UniRef50_A0AAP6QZ26
contig_1	cds	137802	138572	-	DBOHML_00132	525.0	1.7e-192	1.0	1.0	0.988	BlastRules:WP_001118052
contig_1	cds	138726	139199	+	DBOHML_00133	220.0	1.6e-72	0.981	0.880	0.675	UniRef:UniRef50_P0AD59
contig_1	cds	139242	141686	-	DBOHML_00134	1338.0	0.0	0.991	0.920	0.822	UniRef:UniRef50_Q47146
contig_1	cds	141926	142504	+	DBOHML_00135	358.0	7.8e-126	1.0	0.889	0.953	UniRef:UniRef50_Q7N7F7
contig_1	ncRNA	142515	142592	+	DBOHML_00136	80.2	6.2e-12	-	-	-	RFAM:RF02564
contig_1	cds	142710	143477	+	DBOHML_00137	512.0	2.1e-184	1.208	1.0	0.825	UniRef:UniRef50_Q47147
contig_1	cds	143448	144188	-	DBOHML_00138	453.0	4.8e-162	1.0	0.957	0.878	UniRef:UniRef50_A0AAP5VK31
contig_1	cds	144480	145238	+	DBOHML_00139	-	-	-	-	-	-
contig_1	ncRNA	145238	145315	+	DBOHML_00140	73.2	1.2e-10	-	-	-	RFAM:RF02564
contig_1	cds	145415	145912	+	DBOHML_00141	350.0	3.9e-126	0.994	0.994	0.963	BlastRules:WP_000006255
contig_1	ncRNA	145981	146058	+	DBOHML_00142	76.0	3.7e-11	-	-	-	RFAM:RF02564
contig_1	cds	146071	146817	-	DBOHML_00143	511.0	3.0e-184	1.0	0.810	0.972	UniRef:UniRef50_A0A854BIN2
contig_1	cds	146937	147248	-	DBOHML_00144	119.0	1.5e-34	1.0	1.0	0.592	UniRef:UniRef50_A0A1N6MX57
contig_1	ncRNA	147130	147252	-	DBOHML_00145	150.3	1.3e-25	-	-	-	RFAM:RF01387
contig_1	ncRNA	147343	147420	+	DBOHML_00146	76.0	3.7e-11	-	-	-	RFAM:RF02564
contig_1	ncRNA	147444	147521	+	DBOHML_00147	72.2	1.8e-10	-	-	-	RFAM:RF02564
contig_1	cds	147612	149705	-	DBOHML_00148	1067.0	0.0	0.818	0.804	0.986	UniRef:UniRef50_Q47153
contig_1	cds	149689	150828	-	DBOHML_00149	532.0	8.4e-189	0.979	0.961	0.733	UniRef:UniRef50_A0A1B7HLW1
contig_1	cds	150818	151600	-	DBOHML_00150	458.0	1.8e-163	1.0	0.939	0.985	UniRef:UniRef50_Q5DY35
contig_1	cds	151602	151874	-	DBOHML_00151	109.0	6.2e-31	1.044	1.0	0.745	UniRef:UniRef50_A0A2X3E4E5
contig_1	cds	151877	152629	-	DBOHML_00152	425.0	1.7e-150	1.120	1.0	0.871	UniRef:UniRef50_D2TJ09
contig_1	cds	152626	152997	-	DBOHML_00153	148.0	1.9e-45	1.049	1.008	0.659	UniRef:UniRef50_A0A2S4RRS8
contig_1	cds	152990	153841	-	DBOHML_00154	498.0	2.2e-178	1.028	1.0	0.948	UniRef:UniRef50_A0A1R0FZW5
contig_1	cds	154229	155209	+	DBOHML_00155	370.0	2.8e-126	1.018	0.897	0.593	UniRef:UniRef50_A8AKJ2
contig_1	cds	155224	155565	+	DBOHML_00156	97.1	2.3e-25	0.938	0.876	0.566	UniRef:UniRef50_D2TJ13
contig_1	cds	155570	157216	+	DBOHML_00157	996.0	0.0	1.106	1.0	0.883	UniRef:UniRef50_A0A376LI97
contig_1	cds	157194	158204	+	DBOHML_00158	358.0	1.8e-121	1.0	0.944	0.539	UniRef:UniRef50_A0A1U9N887
contig_1	cds	158207	158917	+	DBOHML_00159	353.0	7.6e-123	1.0	0.975	0.983	UniRef:UniRef50_A0A1I6DBT1
contig_1	cds	158910	160247	+	DBOHML_00160	707.0	7.2e-257	1.0	1.168	0.849	UniRef:UniRef50_A0A377DG69
contig_1	cds	160250	160684	+	DBOHML_00161	196.0	7.3e-64	0.986	0.966	0.746	UniRef:UniRef50_D4BDS4
contig_1	cds	160687	161091	+	DBOHML_00162	148.0	5.5e-45	0.940	0.846	0.563	UniRef:UniRef50_A0A7Y9UKH0
contig_1	cds	161235	163706	-	DBOHML_00163	1172.0	0.0	0.990	0.935	0.696	UniRef:UniRef50_D4BDS0
contig_1	cds	163885	164814	-	DBOHML_00164	571.0	2.2e-206	1.0	0.957	0.913	UniRef:UniRef50_Q5DY21
contig_1	cds	164941	165369	-	DBOHML_00165	262.0	5.9e-90	1.035	1.0	0.932	UniRef:UniRef50_R8WZ48
contig_1	cds	165382	165660	-	DBOHML_00166	152.0	1.4e-47	1.0	0.821	0.957	UniRef:UniRef50_A0A0C2KR60
contig_1	cds	165741	166478	-	DBOHML_00167	428.0	8.1e-152	1.098	1.0	0.851	UniRef:UniRef50_A0A0F3V4E8
contig_1	cds	166560	166895	+	DBOHML_00168	125.0	1.5e-36	1.081	0.863	0.542	UniRef:UniRef50_A0A089UJL6
contig_1	cds	166898	167329	+	DBOHML_00169	257.0	1.0e-87	1.063	1.0	0.908	UniRef:UniRef50_W8STV4
contig_1	cds	167329	168042	+	DBOHML_00170	269.0	1.4e-89	0.865	0.858	0.751	UniRef:UniRef50_A0A2X1N2N2
contig_1	cds	168186	169388	+	DBOHML_00171	-	-	-	-	-	-
contig_1	cds	169388	170125	+	DBOHML_00172	463.0	6.2e-166	0.992	0.960	0.992	UniRef:UniRef50_A0A3G5L7R4
contig_1	ncRNA	170138	170214	+	DBOHML_00173	78.3	1.4e-11	-	-	-	RFAM:RF02564
contig_1	cds	170304	171089	+	DBOHML_00174	506.0	4.4e-182	1.0	0.861	1.0	UniRef:UniRef50_Q5DY13
contig_1	cds	171296	171961	+	DBOHML_00175	434.0	4.1e-155	1.0	0.880	0.986	UniRef:UniRef50_Q8ZHZ5
contig_1	cds	171976	173076	+	DBOHML_00176	377.0	1.4e-127	0.929	0.844	0.600	UniRef:UniRef50_A0A1E5BZ04
contig_1	cds	173076	173375	+	DBOHML_00177	143.0	3.5e-44	0.909	0.849	0.767	UniRef:UniRef50_A0A5P2M901
contig_1	cds	173551	174927	+	DBOHML_00178	772.0	6.1e-281	1.026	1.0	0.957	UniRef:UniRef50_D2TJ89
contig_1	cds	174942	175871	+	DBOHML_00179	374.0	1.2e-128	1.039	1.0	0.623	UniRef:UniRef50_A0A376Q7N2
contig_1	cds	175888	176865	+	DBOHML_00180	564.0	2.7e-203	0.969	0.938	0.956	UniRef:UniRef50_A0A1X3J5H7
contig_1	cds	176938	177282	+	DBOHML_00181	169.0	7.6e-54	0.974	0.804	0.685	UniRef:UniRef50_A0A0F6TTJ4
contig_1	cds	177292	177591	+	DBOHML_00182	149.0	2.8e-46	1.0	0.908	0.778	UniRef:UniRef50_A0A086IJW5
contig_1	cds	177649	178491	-	DBOHML_00183	276.0	1.2e-90	1.139	0.970	0.511	UniRef:UniRef50_R8X3G0
contig_1	cds	178977	179891	+	DBOHML_00184	525.0	3.9e-188	1.0	0.933	1.0	UniRef:UniRef50_A0A4Q6GLP9
contig_1	cds	180096	181412	+	DBOHML_00185	726.0	2.5e-263	1.027	1.0	0.947	UniRef:UniRef50_D4BDQ0
contig_1	cds	181435	181827	+	DBOHML_00186	251.0	5.3e-86	1.0	0.929	0.969	UniRef:UniRef50_Q5DY01
contig_1	cds	181832	182143	+	DBOHML_00187	181.0	6.7e-59	1.0	0.880	0.951	UniRef:UniRef50_A0AAD1L4I1
contig_1	cds	182140	183198	+	DBOHML_00188	280.0	3.8e-90	1.125	1.003	0.515	UniRef:UniRef50_D4BDP7
contig_1	cds	183206	183673	+	DBOHML_00189	286.0	5.5e-99	1.0	0.969	0.981	UniRef:UniRef50_D2TJA0
contig_1	cds	183693	184409	+	DBOHML_00190	245.0	4.8e-80	0.954	0.923	0.555	UniRef:UniRef50_D2TJY1
contig_1	cds	184422	185285	+	DBOHML_00191	533.0	2.9e-192	0.979	0.921	0.968	UniRef:UniRef50_A0A2T3MUA7
contig_1	cds	185288	186211	+	DBOHML_00192	454.0	5.9e-160	1.052	0.942	0.759	UniRef:UniRef50_D3GSC3
contig_1	cds	186282	187337	+	DBOHML_00193	343.0	5.7e-115	1.011	0.934	0.555	UniRef:UniRef50_I8U8V4
contig_1	cds	187389	187682	+	DBOHML_00194	116.0	2.0e-33	1.0	0.829	0.619	UniRef:UniRef50_Q47156
contig_1	cds	187685	187882	+	DBOHML_00195	-	-	-	-	-	-
contig_1	cds	188171	188545	+	DBOHML_00196	-	-	-	-	-	-
contig_1	cds	188736	189875	+	DBOHML_00197	623.0	9.8e-226	0.834	0.978	0.968	UniRef:UniRef50_A0A379VX67
contig_1	cds	189872	190486	+	DBOHML_00198	235.0	3.8e-77	0.990	0.957	0.599	UniRef:UniRef50_P28369
contig_1	cds	190548	191057	+	DBOHML_00199	355.0	2.2e-125	0.994	0.875	0.970	UniRef:UniRef50_A0A2X4U362
contig_1	cds	191074	191355	-	DBOHML_00200	180.0	4.3e-59	0.989	0.979	0.924	UniRef:UniRef50_A0A7U9DMS7
contig_1	cds	191364	192821	-	DBOHML_00201	625.0	2.3e-221	0.998	0.906	0.622	UniRef:UniRef50_A0A655W848
contig_1	cds	193082	193540	+	DBOHML_00202	229.0	1.2e-76	0.993	0.950	0.728	UniRef:UniRef50_Q89AN2
contig_1	cds	193632	194876	+	DBOHML_00203	456.0	1.6e-157	1.029	0.998	0.535	UniRef:UniRef50_P04335
contig_1	cds	194934	195335	+	DBOHML_00204	257.0	3.5e-88	1.0	1.0	0.902	UniRef:UniRef50_C6CBF6
contig_1	cds	195374	196429	-	DBOHML_00205	481.0	3.0e-169	1.054	0.941	0.641	UniRef:UniRef50_A0A285B4F0
contig_1	cds	196717	197820	+	DBOHML_00206	479.0	1.8e-167	0.989	0.860	0.689	UniRef:UniRef50_P0A7B5
contig_1	cds	197832	199085	+	DBOHML_00207	500.0	2.2e-174	0.998	0.898	0.635	UniRef:UniRef50_P07004
contig_1	tRNA	199200	199275	+	DBOHML_00208	85.1	-	-	-	-	-
contig_1	cds	199290	200453	-	DBOHML_00209	646.0	2.7e-233	0.987	0.927	0.817	UniRef:UniRef50_P04890
contig_1	cds	200680	200985	-	DBOHML_00210	177.0	3.0e-57	1.168	1.0	0.814	UniRef:UniRef50_P76516
contig_1	cds	200985	201347	-	DBOHML_00211	241.0	3.1e-82	1.008	0.945	0.942	UniRef:UniRef50_P76515
contig_1	cds	201338	201874	-	DBOHML_00212	360.0	1.1e-129	1.0	1.0	0.978	BlastRules:WP_000008183
contig_1	cds	202002	202826	-	DBOHML_00213	294.0	6.8e-98	1.117	1.007	0.520	UniRef:UniRef50_P76513
contig_1	cds	202892	203254	-	DBOHML_00214	218.0	1.1e-72	1.192	0.993	0.832	UniRef:UniRef50_P76512
contig_1	cds	203723	204157	+	DBOHML_00215	-	-	-	-	-	-
