locus_tag	ftype	length_bp	gene	EC_number	COG	product
FNIJKLNN_00027	CDS	564	srlA_1		COG3730	PTS system glucitol/sorbitol-specific EIIC component
FNIJKLNN_00028	CDS	960	srlE_1	2.7.1.198	COG3732	PTS system glucitol/sorbitol-specific EIIB component
FNIJKLNN_00029	CDS	372	srlB_1		COG3731	PTS system glucitol/sorbitol-specific EIIA component
FNIJKLNN_00030	CDS	780	srlD	1.1.1.140	COG1028	Sorbitol-6-phosphate 2-dehydrogenase
FNIJKLNN_00031	CDS	360				hypothetical protein
FNIJKLNN_00032	CDS	774	srlR_1		COG1349	Glucitol operon repressor
FNIJKLNN_00033	CDS	966	gutQ	5.3.1.13	COG0517	Arabinose 5-phosphate isomerase GutQ
FNIJKLNN_00034	CDS	1515	norR		COG3604	Anaerobic nitric oxide reductase transcription regulator NorR
FNIJKLNN_00035	CDS	1440	norV		COG0426	Anaerobic nitric oxide reductase flavorubredoxin
FNIJKLNN_00036	CDS	1134	norW	1.18.1.-	COG1251	Nitric oxide reductase FlRd-NAD(+) reductase
FNIJKLNN_00037	CDS	2241	hypF	6.2.-.-	COG0068	Carbamoyltransferase HypF
FNIJKLNN_00038	CDS	528	hyfA_1	1.-.-.-	COG1142	Hydrogenase-4 component A
FNIJKLNN_00039	CDS	1014	ascG		COG1609	HTH-type transcriptional regulator AscG
FNIJKLNN_00040	CDS	1458	bglF		COG1263	PTS system beta-glucoside-specific EIIBCA component
FNIJKLNN_00041	CDS	1425	bglH	3.2.1.86	COG2723	Aryl-phospho-beta-D-glucosidase BglH
FNIJKLNN_00042	CDS	471	hycI	3.4.23.51	COG0680	Hydrogenase 3 maturation protease
FNIJKLNN_00043	CDS	411				hypothetical protein
FNIJKLNN_00044	CDS	768	hycG_1		COG3260	Formate hydrogenlyase subunit 7
FNIJKLNN_00045	CDS	543	nqo9	1.6.5.11	COG1143	NADH-quinone oxidoreductase subunit 9
FNIJKLNN_00046	CDS	1710	hycE		COG3261	Formate hydrogenlyase subunit 5
FNIJKLNN_00047	CDS	924	hycD		COG0650	Formate hydrogenlyase subunit 4
FNIJKLNN_00048	CDS	1827	hyfB_1	1.-.-.-	COG0651	Hydrogenase-4 component B
FNIJKLNN_00049	CDS	612	hyfA_2	1.-.-.-	COG1142	Hydrogenase-4 component A
FNIJKLNN_00050	CDS	462	hycA			Formate hydrogenlyase regulatory protein HycA
FNIJKLNN_00051	CDS	351	hypA		COG0375	Hydrogenase maturation factor HypA
FNIJKLNN_00052	CDS	873	hypB		COG0378	Hydrogenase maturation factor HypB
FNIJKLNN_00053	CDS	273	hypC		COG0298	Hydrogenase maturation factor HypC
FNIJKLNN_00054	CDS	1122	hypD		COG0409	Hydrogenase maturation factor HypD
FNIJKLNN_00055	CDS	1011	hypE	4.2.1.-	COG0309	Carbamoyl dehydratase HypE
FNIJKLNN_00056	CDS	2079	fhlA		COG3604	Formate hydrogenlyase transcriptional activator FhlA
FNIJKLNN_00057	CDS	429	mopA		COG2005	Molybdenum-pterin-binding protein MopA
FNIJKLNN_00058	CDS	345				hypothetical protein
FNIJKLNN_00059	CDS	135				hypothetical protein
FNIJKLNN_00060	CDS	2562	mutS		COG0249	DNA mismatch repair protein MutS
FNIJKLNN_00061	CDS	864	esiB_1			Secretory immunoglobulin A-binding protein EsiB
FNIJKLNN_00062	CDS	669	pphB	3.1.3.16	COG0639	Serine/threonine-protein phosphatase 2
FNIJKLNN_00063	CDS	237	bsdD	4.1.1.-		Phenolic acid decarboxylase subunit D
FNIJKLNN_00064	CDS	1428	edcC	4.1.1.-	COG0043	Phenolic acid decarboxylase subunit C
FNIJKLNN_00065	CDS	594	ecdB	2.5.1.129	COG0163	putative UbiX-like flavin prenyltransferase
FNIJKLNN_00066	CDS	408	hosA			Transcriptional regulator HosA
FNIJKLNN_00067	CDS	993	rpoS		COG0568	RNA polymerase sigma factor RpoS
FNIJKLNN_00068	CDS	1140	nlpD_1		COG0739	Murein hydrolase activator NlpD
FNIJKLNN_00069	CDS	627	pcm	2.1.1.77	COG2518	Protein-L-isoaspartate O-methyltransferase
FNIJKLNN_00070	CDS	762	surE	3.1.3.5	COG0496	5'/3'-nucleotidase SurE
FNIJKLNN_00071	CDS	1050	truD	5.4.99.27	COG0585	tRNA pseudouridine synthase D
FNIJKLNN_00072	CDS	480	ispF	4.6.1.12	COG0245	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
FNIJKLNN_00073	CDS	711	ispD	2.7.7.60	COG1211	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
FNIJKLNN_00074	CDS	312	ftsB		COG2919	Cell division protein FtsB
FNIJKLNN_00075	CDS	324	ygbE			Inner membrane protein YgbE
FNIJKLNN_00076	CDS	606	cysC	2.7.1.25	COG0529	Adenylyl-sulfate kinase
FNIJKLNN_00077	CDS	1428	cysN	2.7.7.4	COG2895	Sulfate adenylyltransferase subunit 1
FNIJKLNN_00078	CDS	909	cysD	2.7.7.4	COG0175	Sulfate adenylyltransferase subunit 2
FNIJKLNN_00079	CDS	1038	ywaD	3.4.11.6	COG2234	Aminopeptidase YwaD
FNIJKLNN_00080	CDS	294	ygbF	3.1.-.-		CRISPR-associated endoribonuclease Cas2
FNIJKLNN_00081	CDS	600	ygbT	3.1.-.-	COG1518	CRISPR-associated endonuclease Cas1
FNIJKLNN_00082	CDS	651	casE	3.1.-.-		CRISPR system Cascade subunit CasE
FNIJKLNN_00083	CDS	747	casD			CRISPR system Cascade subunit CasD
FNIJKLNN_00084	CDS	1056	casC			CRISPR system Cascade subunit CasC
FNIJKLNN_00085	CDS	537				hypothetical protein
FNIJKLNN_00086	CDS	1563	casA			CRISPR system Cascade subunit CasA
FNIJKLNN_00087	CDS	2700	ygcB	3.1.-.-	COG1203	CRISPR-associated endonuclease/helicase Cas3
FNIJKLNN_00088	CDS	153	hokA_1			Protein HokA
FNIJKLNN_00089	CDS	735	cysH_1	1.8.4.8	COG0175	Phosphoadenosine phosphosulfate reductase
FNIJKLNN_00090	CDS	1713	cysI	1.8.1.2	COG0155	Sulfite reductase [NADPH] hemoprotein beta-component
FNIJKLNN_00091	CDS	1800	cysJ	1.8.1.2	COG0369	Sulfite reductase [NADPH] flavoprotein alpha-component
FNIJKLNN_00092	CDS	366	queD	4.1.2.50	COG0720	6-carboxy-5,6,7,8-tetrahydropterin synthase
FNIJKLNN_00093	CDS	1272		1.5.5.1	COG0644	Electron transfer flavoprotein-ubiquinone oxidoreductase
FNIJKLNN_00094	CDS	261	fixX_1		COG2440	Ferredoxin-like protein FixX
FNIJKLNN_00095	CDS	576	ygcP		COG1954	putative protein YgcP
FNIJKLNN_00096	CDS	861	etfA		COG2025	Electron transfer flavoprotein subunit alpha
FNIJKLNN_00097	CDS	780	etfB			Electron transfer flavoprotein subunit beta
FNIJKLNN_00098	CDS	1410	ygcS_1			Inner membrane metabolite transport protein YgcS
FNIJKLNN_00099	CDS	1455		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
FNIJKLNN_00100	CDS	786	kduD_1	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
FNIJKLNN_00101	CDS	1278	yqcE			Inner membrane protein YqcE
FNIJKLNN_00102	CDS	1479	lsrK_1	2.7.1.189	COG1070	Autoinducer-2 kinase
FNIJKLNN_00103	CDS	672	queE	4.3.99.3		7-carboxy-7-deazaguanine synthase
FNIJKLNN_00104	CDS	603	lemA		COG1704	Protein LemA
FNIJKLNN_00105	CDS	894				hypothetical protein
FNIJKLNN_00106	CDS	1149				hypothetical protein
FNIJKLNN_00107	CDS	915				hypothetical protein
FNIJKLNN_00108	CDS	1299	eno	4.2.1.11	COG0148	Enolase
FNIJKLNN_00109	CDS	1638	pyrG	6.3.4.2	COG0504	CTP synthase
FNIJKLNN_00110	CDS	792	mazG	3.6.1.8	COG1694	Nucleoside triphosphate pyrophosphohydrolase
FNIJKLNN_00111	CDS	2235	relA	2.7.6.5	COG0317	GTP pyrophosphokinase
FNIJKLNN_00112	CDS	1302	rlmD	2.1.1.190	COG2265	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD
FNIJKLNN_00113	CDS	2757	barA	2.7.13.3	COG0784	Signal transduction histidine-protein kinase BarA
FNIJKLNN_00114	CDS	1341	gudD	4.2.1.40	COG4948	Glucarate dehydratase
FNIJKLNN_00115	CDS	1341	gudX	4.2.1.-	COG4948	Glucarate dehydratase-related protein
FNIJKLNN_00116	CDS	1353	gudP			putative glucarate transporter
FNIJKLNN_00117	CDS	450			COG0716	putative protein
FNIJKLNN_00118	CDS	783	truC	5.4.99.26	COG0564	tRNA pseudouridine synthase C
FNIJKLNN_00119	CDS	330	yqcC		COG3098	putative protein YqcC
FNIJKLNN_00120	CDS	546	syd			Protein Syd
FNIJKLNN_00121	CDS	849	queF	1.7.1.13	COG0780	NADPH-dependent 7-cyano-7-deazaguanine reductase
FNIJKLNN_00122	CDS	1365	ppnN	3.2.2.-	COG1611	Pyrimidine/purine nucleotide 5'-monophosphate nucleosidase
FNIJKLNN_00123	CDS	1290	sdaC		COG0814	Serine transporter
FNIJKLNN_00124	CDS	1368	sdaB	4.3.1.17	COG1760	L-serine dehydratase 2
FNIJKLNN_00125	CDS	846	ygdG	3.1.-.-	COG0258	Flap endonuclease Xni
FNIJKLNN_00126	CDS	1149	fucO	1.1.1.77	COG1454	Lactaldehyde reductase
FNIJKLNN_00127	CDS	648	fucA_1	4.1.2.17	COG0235	L-fuculose phosphate aldolase
FNIJKLNN_00128	CDS	1317	fucP		COG0738	L-fucose-proton symporter
FNIJKLNN_00129	CDS	1776	fucI	5.3.1.25	COG2407	L-fucose isomerase
FNIJKLNN_00130	CDS	1419	fucK	2.7.1.51	COG1070	L-fuculokinase
FNIJKLNN_00131	CDS	423	fucU	5.1.3.29	COG4154	L-fucose mutarotase
FNIJKLNN_00132	CDS	732	ydjF_1		COG1349	putative HTH-type transcriptional regulator YdjF
FNIJKLNN_00133	CDS	1101	rlmM	2.1.1.186	COG2933	Ribosomal RNA large subunit methyltransferase M
FNIJKLNN_00134	CDS	396				hypothetical protein
FNIJKLNN_00135	CDS	918	gcvA_1			Glycine cleavage system transcriptional activator
FNIJKLNN_00136	CDS	228	ygdR_1			putative lipoprotein YgdR
FNIJKLNN_00137	CDS	1206	csdA	2.8.1.7	COG0520	Cysteine desulfurase CsdA
FNIJKLNN_00138	CDS	444	csdE		COG2166	Sulfur acceptor protein CsdE
FNIJKLNN_00139	CDS	807	tcdA	6.1.-.-	COG1179	tRNA threonylcarbamoyladenosine dehydratase
FNIJKLNN_00140	CDS	1098	mltA	4.2.2.-	COG2821	Membrane-bound lytic murein transglycosylase A
FNIJKLNN_00141	tRNA	77				tRNA-Met(cat)
FNIJKLNN_00142	tRNA	77				tRNA-Met(cat)
FNIJKLNN_00143	tRNA	77				tRNA-Met(cat)
FNIJKLNN_00144	CDS	1254	amiC	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiC
FNIJKLNN_00145	CDS	1332	argA_1	2.3.1.1	COG0548	Amino-acid acetyltransferase
FNIJKLNN_00146	CDS	1827	recD	3.1.11.5	COG0507	RecBCD enzyme subunit RecD
FNIJKLNN_00147	CDS	3543	recB	3.1.11.5	COG1074	RecBCD enzyme subunit RecB
FNIJKLNN_00148	CDS	2889	ptrA	3.4.24.55	COG1025	Protease 3
FNIJKLNN_00149	CDS	3369	recC	3.1.11.5	COG1330	RecBCD enzyme subunit RecC
FNIJKLNN_00150	CDS	324				hypothetical protein
FNIJKLNN_00151	CDS	408				hypothetical protein
FNIJKLNN_00152	CDS	564				hypothetical protein
FNIJKLNN_00153	CDS	471				hypothetical protein
FNIJKLNN_00154	CDS	795	thyA	2.1.1.45	COG0207	Thymidylate synthase
FNIJKLNN_00155	CDS	876	lgt	2.4.99.-	COG0682	Prolipoprotein diacylglyceryl transferase
FNIJKLNN_00156	CDS	2247	ptsP	2.7.3.9	COG3605	Phosphoenolpyruvate-dependent phosphotransferase system
FNIJKLNN_00157	CDS	531	rppH	3.6.1.-	COG0494	RNA pyrophosphohydrolase
FNIJKLNN_00158	CDS	147				hypothetical protein
FNIJKLNN_00159	CDS	690	mutH		COG3066	DNA mismatch repair protein MutH
FNIJKLNN_00160	CDS	714				hypothetical protein
FNIJKLNN_00161	CDS	219	ygdR_2			putative lipoprotein YgdR
FNIJKLNN_00162	CDS	1041	tas		COG0667	Protein tas
FNIJKLNN_00163	CDS	1194	lplT			Lysophospholipid transporter LplT
FNIJKLNN_00164	CDS	2160	aas		COG0204	Bifunctional protein Aas
FNIJKLNN_00165	CDS	1032	galR		COG1609	HTH-type transcriptional regulator GalR
FNIJKLNN_00166	CDS	1263	lysA	4.1.1.20	COG0019	Diaminopimelate decarboxylase
FNIJKLNN_00167	CDS	936	occR			Octopine catabolism/uptake operon regulatory protein OccR
FNIJKLNN_00168	CDS	693	ygeA	5.-.-.-	COG1794	Putative racemase YgeA
FNIJKLNN_00169	CDS	1419	araE			Arabinose-proton symporter
FNIJKLNN_00170	CDS	762	kduD_2	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
FNIJKLNN_00171	CDS	837	kduI	5.3.1.17	COG3717	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase
FNIJKLNN_00172	CDS	1182	thlA	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
FNIJKLNN_00173	CDS	1230	yqeG		COG0814	Inner membrane transport protein YqeG
FNIJKLNN_00174	CDS	633	ecpR_1			HTH-type transcriptional regulator EcpR
FNIJKLNN_00175	CDS	810				hypothetical protein
FNIJKLNN_00176	CDS	483				hypothetical protein
FNIJKLNN_00177	CDS	141	yqeL			putative protein YqeL
FNIJKLNN_00178	CDS	426				hypothetical protein
FNIJKLNN_00179	CDS	96				hypothetical protein
FNIJKLNN_00180	CDS	492				hypothetical protein
FNIJKLNN_00181	CDS	492	sicA_1		COG0457	Chaperone protein SicA
FNIJKLNN_00182	CDS	1377	hilA_1		COG0457	Transcriptional regulator HilA
FNIJKLNN_00183	CDS	219				hypothetical protein
FNIJKLNN_00184	CDS	504				hypothetical protein
FNIJKLNN_00185	CDS	633	liaR		COG2197	Transcriptional regulatory protein LiaR
FNIJKLNN_00186	CDS	708	orgB			Oxygen-regulated invasion protein OrgB
FNIJKLNN_00187	CDS	582	orgA			Oxygen-regulated invasion protein OrgA
FNIJKLNN_00188	CDS	735	prgK		COG4669	Lipoprotein PrgK
FNIJKLNN_00189	CDS	333				hypothetical protein
FNIJKLNN_00190	CDS	240	prgI			Protein PrgI
FNIJKLNN_00191	CDS	1182	prgH			Protein PrgH
FNIJKLNN_00192	CDS	501				hypothetical protein
FNIJKLNN_00193	CDS	294				hypothetical protein
FNIJKLNN_00194	CDS	1113	spaS		COG1377	Surface presentation of antigens protein SpaS
FNIJKLNN_00195	CDS	768	spaR_1		COG4791	Surface presentation of antigens protein SpaR
FNIJKLNN_00196	CDS	261				hypothetical protein
FNIJKLNN_00197	CDS	666	spaP		COG4790	Surface presentation of antigens protein SpaP
FNIJKLNN_00198	CDS	948	spaO		COG1886	Surface presentation of antigens protein SpaO
FNIJKLNN_00199	CDS	876				hypothetical protein
FNIJKLNN_00200	CDS	459				hypothetical protein
FNIJKLNN_00201	CDS	1293	spaL	3.6.3.14	COG1157	putative ATP synthase SpaL
FNIJKLNN_00202	CDS	2061	invA		COG4789	Invasion protein InvA
FNIJKLNN_00203	CDS	1146	mxiC			Protein MxiC
FNIJKLNN_00204	CDS	1704	invG		COG1450	Protein InvG
FNIJKLNN_00205	CDS	750	invF			Invasion protein InvF
FNIJKLNN_00206	CDS	180	ghoT_1			Toxin GhoT
FNIJKLNN_00207	CDS	1611				hypothetical protein
FNIJKLNN_00208	tRNA	74				tRNA-Gly(ccc)
FNIJKLNN_00209	CDS	753	nlpD_2			Murein hydrolase activator NlpD
FNIJKLNN_00210	CDS	2298	xdhA_1	1.17.1.4	COG1529	Putative xanthine dehydrogenase molybdenum-binding subunit XdhA
FNIJKLNN_00211	CDS	879	ndhF	1.17.1.5		Nicotinate dehydrogenase FAD-subunit
FNIJKLNN_00212	CDS	480	ndhS	1.17.1.5		Nicotinate dehydrogenase small FeS subunit
FNIJKLNN_00213	CDS	1779		1.14.14.51		Limonene hydroxylase
FNIJKLNN_00214	CDS	1188	ygeW	2.1.3.-	COG0078	Putative carbamoyltransferase YgeW
FNIJKLNN_00215	CDS	1197	ygeX	4.3.1.15	COG1171	Diaminopropionate ammonia-lyase
FNIJKLNN_00216	CDS	1212	argE_1	3.5.1.16	COG0624	Acetylornithine deacetylase
FNIJKLNN_00217	CDS	1386	hyuA	3.5.2.-	COG0044	D-phenylhydantoinase
FNIJKLNN_00218	CDS	933	arcC1	2.7.2.2		Carbamate kinase 1
FNIJKLNN_00219	CDS	1626	pucA	1.17.1.4	COG1975	putative xanthine dehydrogenase subunit A
FNIJKLNN_00220	CDS	771				hypothetical protein
FNIJKLNN_00221	CDS	579	mocA	2.7.7.76	COG2068	Molybdenum cofactor cytidylyltransferase
FNIJKLNN_00222	CDS	3099	ygfK		COG0493	Putative oxidoreductase YgfK
FNIJKLNN_00223	CDS	1329	ssnA	3.-.-.-	COG0402	Putative aminohydrolase SsnA
FNIJKLNN_00224	CDS	780	cdhB	1.17.5.2		Caffeine dehydrogenase subunit beta
FNIJKLNN_00225	CDS	2871	xdhA_2	1.17.1.4	COG1529	Putative xanthine dehydrogenase molybdenum-binding subunit XdhA
FNIJKLNN_00226	CDS	1401	xanQ		COG2233	Xanthine permease XanQ
FNIJKLNN_00227	CDS	1317	guaD	3.5.4.3	COG0402	Guanine deaminase
FNIJKLNN_00228	CDS	1368	ghxQ		COG2252	Guanine/hypoxanthine permease GhxQ
FNIJKLNN_00229	CDS	489	hyfA_3	1.-.-.-	COG1142	Hydrogenase-4 component A
FNIJKLNN_00230	CDS	1920	gltD_1	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
FNIJKLNN_00231	CDS	1449	uacT		COG2233	Uric acid transporter UacT
FNIJKLNN_00232	CDS	126	yqfG			putative protein YqfG
FNIJKLNN_00233	CDS	549	idi	5.3.3.2	COG1443	Isopentenyl-diphosphate Delta-isomerase
FNIJKLNN_00234	CDS	1518	lysS	6.1.1.6	COG1190	Lysine--tRNA ligase
FNIJKLNN_00235	CDS	882	prfB		COG1186	Peptide chain release factor RF2
FNIJKLNN_00236	CDS	1734	recJ	3.1.-.-	COG0608	Single-stranded-DNA-specific exonuclease RecJ
FNIJKLNN_00237	CDS	711	dsbC		COG1651	Thiol:disulfide interchange protein DsbC
FNIJKLNN_00238	CDS	897	xerD_1		COG4974	Tyrosine recombinase XerD
FNIJKLNN_00239	CDS	522	fldB		COG0716	Flavodoxin 2
FNIJKLNN_00240	CDS	408	ygfX			Inner membrane protein YgfX
FNIJKLNN_00241	CDS	267	sdhE		COG2938	FAD assembly factor SdhE
FNIJKLNN_00242	CDS	981	ygfZ		COG0354	tRNA-modifying protein YgfZ
FNIJKLNN_00243	CDS	660				hypothetical protein
FNIJKLNN_00244	CDS	312				hypothetical protein
FNIJKLNN_00245	CDS	1434	bglA	3.2.1.86	COG2723	6-phospho-beta-glucosidase BglA
FNIJKLNN_00246	CDS	2874	gcvP	1.4.4.2	COG0403	Glycine dehydrogenase (decarboxylating)
FNIJKLNN_00247	CDS	390	gcvH		COG0509	Glycine cleavage system H protein
FNIJKLNN_00248	CDS	1095	gcvT	2.1.2.10	COG0404	Aminomethyltransferase
FNIJKLNN_00249	CDS	1203	ubiI	1.14.13.-	COG0654	2-octaprenylphenol hydroxylase
FNIJKLNN_00250	CDS	1179	ubiH	1.14.13.-	COG0654	2-octaprenyl-6-methoxyphenol hydroxylase
FNIJKLNN_00251	CDS	1326	pepP	3.4.11.9	COG0006	Xaa-Pro aminopeptidase
FNIJKLNN_00252	CDS	579				hypothetical protein
FNIJKLNN_00253	CDS	330	zapA		COG3027	Cell division protein ZapA
FNIJKLNN_00254	CDS	603	ygfA	6.3.3.2	COG0212	5-formyltetrahydrofolate cyclo-ligase
FNIJKLNN_00255	CDS	1233	serA	1.1.1.95	COG0111	D-3-phosphoglycerate dehydrogenase
FNIJKLNN_00256	CDS	660	rpiA	5.3.1.6	COG0120	Ribose-5-phosphate isomerase A
FNIJKLNN_00257	CDS	897	dmlR_1			HTH-type transcriptional regulator DmlR
FNIJKLNN_00258	CDS	630	azoR1	1.7.-.-	COG1182	FMN-dependent NADH-azoreductase 1
FNIJKLNN_00259	CDS	261	bhsA_1			Multiple stress resistance protein BhsA
FNIJKLNN_00260	CDS	1326	cbdC			2-halobenzoate 1,2-dioxygenase electron transfer component
FNIJKLNN_00261	CDS	894	argP		COG0583	HTH-type transcriptional regulator ArgP
FNIJKLNN_00262	CDS	2145	scpA	5.4.99.2	COG1884	Methylmalonyl-CoA mutase
FNIJKLNN_00263	CDS	996	argK	3.6.5.-	COG1703	GTPase ArgK
FNIJKLNN_00264	CDS	786	scpB	4.1.1.41	COG1024	Methylmalonyl-CoA decarboxylase
FNIJKLNN_00265	CDS	1479	scpC	2.8.3.-	COG0427	Propionyl-CoA:succinate CoA transferase
FNIJKLNN_00266	CDS	897	cynR_1			HTH-type transcriptional regulator CynR
FNIJKLNN_00267	CDS	741			COG2968	26 kDa periplasmic immunogenic protein
FNIJKLNN_00268	CDS	636	argO		COG1279	Arginine exporter protein ArgO
FNIJKLNN_00269	CDS	1044			COG1638	Solute-binding protein
FNIJKLNN_00270	CDS	876	mscS		COG0668	Small-conductance mechanosensitive channel
FNIJKLNN_00271	CDS	1080	fbaA_1	4.1.2.13	COG0191	Fructose-bisphosphate aldolase class 2
FNIJKLNN_00272	CDS	1164	pgk	2.7.2.3	COG0126	Phosphoglycerate kinase
FNIJKLNN_00273	CDS	1020	epd	1.2.1.72	COG0057	D-erythrose-4-phosphate dehydrogenase
FNIJKLNN_00274	CDS	432				hypothetical protein
FNIJKLNN_00275	CDS	579				hypothetical protein
FNIJKLNN_00276	CDS	708	ecfT			Energy-coupling factor transporter transmembrane protein EcfT
FNIJKLNN_00277	CDS	678	ecfA1_1	3.6.3.-	COG1122	Energy-coupling factor transporter ATP-binding protein EcfA1
FNIJKLNN_00278	CDS	678	ecfA1_2	3.6.3.-		Energy-coupling factor transporter ATP-binding protein EcfA1
FNIJKLNN_00279	CDS	714	coaA_1	2.7.1.33	COG1072	Pantothenate kinase
FNIJKLNN_00280	CDS	510	fumE	4.2.1.2	COG3722	Fumarase E
FNIJKLNN_00281	CDS	966	yggF	3.1.3.11	COG1494	Fructose-1,6-bisphosphatase 2 class 2
FNIJKLNN_00282	CDS	1278	yggP_1	1.1.1.17	COG1063	Mannitol-1-phosphate 5-dehydrogenase
FNIJKLNN_00283	CDS	1389	mtlA_1			PTS system mannitol-specific EIICB component
FNIJKLNN_00284	CDS	444	cmtB		COG1762	Mannitol-specific cryptic phosphotransferase enzyme IIA component
FNIJKLNN_00285	CDS	909	hflC_1		COG0330	Modulator of FtsH protease HflC
FNIJKLNN_00286	CDS	1992	tktA	2.2.1.1	COG0021	Transketolase 1
FNIJKLNN_00287	CDS	759	loiP	3.4.24.-	COG0501	Metalloprotease LoiP
FNIJKLNN_00288	CDS	1563				hypothetical protein
FNIJKLNN_00289	CDS	921	speB	3.5.3.11	COG0010	Agmatinase
FNIJKLNN_00290	CDS	690				hypothetical protein
FNIJKLNN_00291	CDS	1977	speA	4.1.1.19	COG1166	Biosynthetic arginine decarboxylase
FNIJKLNN_00292	CDS	252				hypothetical protein
FNIJKLNN_00293	CDS	1155	metK	2.5.1.6	COG0192	S-adenosylmethionine synthase
FNIJKLNN_00294	CDS	1395	galP			Galactose-proton symporter
FNIJKLNN_00295	CDS	456	sprT			Protein SprT
FNIJKLNN_00296	CDS	708	endA	3.1.21.1	COG2356	Endonuclease-1
FNIJKLNN_00297	CDS	732	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
FNIJKLNN_00298	CDS	951	gshB	6.3.2.3	COG0189	Glutathione synthetase
FNIJKLNN_00299	CDS	636				hypothetical protein
FNIJKLNN_00300	CDS	417	yqgF	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
FNIJKLNN_00301	CDS	981	yggR_1		COG2805	putative protein YggR
FNIJKLNN_00302	CDS	705	yggS		COG0325	Pyridoxal phosphate homeostasis protein
FNIJKLNN_00303	CDS	567				hypothetical protein
FNIJKLNN_00304	CDS	291				hypothetical protein
FNIJKLNN_00305	CDS	594	rdgB	3.6.1.66	COG0127	dITP/XTP pyrophosphatase
FNIJKLNN_00306	CDS	1137	hemN_1	1.3.99.-	COG0635	Oxygen-independent coproporphyrinogen-III oxidase-like protein YqeR
FNIJKLNN_00307	CDS	987			COG1638	Solute-binding protein
FNIJKLNN_00308	CDS	504	siaQ		COG3090	Sialic acid TRAP transporter small permease protein SiaQ
FNIJKLNN_00309	CDS	1302	dctM		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
FNIJKLNN_00310	CDS	1008				hypothetical protein
FNIJKLNN_00311	CDS	1047	ansB	3.5.1.1	COG0252	L-asparaginase 2
FNIJKLNN_00312	CDS	720				hypothetical protein
FNIJKLNN_00313	CDS	327			COG3171	putative protein
FNIJKLNN_00314	CDS	720	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
FNIJKLNN_00315	CDS	1053	mutY	3.2.2.-	COG1194	Adenine DNA glycosylase
FNIJKLNN_00316	CDS	276	yggX		COG2924	putative Fe(2+)-trafficking protein
